REF_DATE,GEO,Custodial admissions,Sex,VALUE
2011/2012,Quebec,"Total, custodial admissions","Total, custodial admission by sex",41749
2011/2012,Quebec,"Total, custodial admissions",Male,37748
2011/2012,Quebec,"Total, custodial admissions",Female,4001
2011/2012,Quebec,"Total, custodial admissions",Sex unknown,0
2011/2012,Quebec,Sentenced,"Total, custodial admission by sex",8082
2011/2012,Quebec,Sentenced,Male,7388
2011/2012,Quebec,Sentenced,Female,694
2011/2012,Quebec,Sentenced,Sex unknown,0
2011/2012,Quebec,Remand,"Total, custodial admission by sex",30481
2011/2012,Quebec,Remand,Male,27620
2011/2012,Quebec,Remand,Female,2861
2011/2012,Quebec,Remand,Sex unknown,0
2011/2012,Quebec,Other custodial statuses,"Total, custodial admission by sex",3186
2011/2012,Quebec,Other custodial statuses,Male,2740
2011/2012,Quebec,Other custodial statuses,Female,446
2011/2012,Quebec,Other custodial statuses,Sex unknown,0
2011/2012,Ontario,"Total, custodial admissions","Total, custodial admission by sex",93605
2011/2012,Ontario,"Total, custodial admissions",Male,82329
2011/2012,Ontario,"Total, custodial admissions",Female,11276
2011/2012,Ontario,"Total, custodial admissions",Sex unknown,0
2011/2012,Ontario,Sentenced,"Total, custodial admission by sex",32065
2011/2012,Ontario,Sentenced,Male,28872
2011/2012,Ontario,Sentenced,Female,3193
2011/2012,Ontario,Sentenced,Sex unknown,0
2011/2012,Ontario,Remand,"Total, custodial admission by sex",56302
2011/2012,Ontario,Remand,Male,48612
2011/2012,Ontario,Remand,Female,7690
2011/2012,Ontario,Remand,Sex unknown,0
2011/2012,Ontario,Other custodial statuses,"Total, custodial admission by sex",5238
2011/2012,Ontario,Other custodial statuses,Male,4845
2011/2012,Ontario,Other custodial statuses,Female,393
2011/2012,Ontario,Other custodial statuses,Sex unknown,0
2011/2012,Manitoba,"Total, custodial admissions","Total, custodial admission by sex",25787
2011/2012,Manitoba,"Total, custodial admissions",Male,21087
2011/2012,Manitoba,"Total, custodial admissions",Female,4699
2011/2012,Manitoba,"Total, custodial admissions",Sex unknown,1
2011/2012,Manitoba,Sentenced,"Total, custodial admission by sex",5846
2011/2012,Manitoba,Sentenced,Male,5182
2011/2012,Manitoba,Sentenced,Female,664
2011/2012,Manitoba,Sentenced,Sex unknown,0
2011/2012,Manitoba,Remand,"Total, custodial admission by sex",12423
2011/2012,Manitoba,Remand,Male,10172
2011/2012,Manitoba,Remand,Female,2251
2011/2012,Manitoba,Remand,Sex unknown,0
2011/2012,Manitoba,Other custodial statuses,"Total, custodial admission by sex",7518
2011/2012,Manitoba,Other custodial statuses,Male,5733
2011/2012,Manitoba,Other custodial statuses,Female,1784
2011/2012,Manitoba,Other custodial statuses,Sex unknown,1
2011/2012,Saskatchewan,"Total, custodial admissions","Total, custodial admission by sex",10929
2011/2012,Saskatchewan,"Total, custodial admissions",Male,9716
2011/2012,Saskatchewan,"Total, custodial admissions",Female,1197
2011/2012,Saskatchewan,"Total, custodial admissions",Sex unknown,16
2011/2012,Saskatchewan,Sentenced,"Total, custodial admission by sex",4372
2011/2012,Saskatchewan,Sentenced,Male,3759
2011/2012,Saskatchewan,Sentenced,Female,607
2011/2012,Saskatchewan,Sentenced,Sex unknown,6
2011/2012,Saskatchewan,Remand,"Total, custodial admission by sex",6400
2011/2012,Saskatchewan,Remand,Male,5820
2011/2012,Saskatchewan,Remand,Female,570
2011/2012,Saskatchewan,Remand,Sex unknown,10
2011/2012,Saskatchewan,Other custodial statuses,"Total, custodial admission by sex",157
2011/2012,Saskatchewan,Other custodial statuses,Male,137
2011/2012,Saskatchewan,Other custodial statuses,Female,20
2011/2012,Saskatchewan,Other custodial statuses,Sex unknown,0
2011/2012,Alberta,"Total, custodial admissions","Total, custodial admission by sex",40125
2011/2012,Alberta,"Total, custodial admissions",Male,34089
2011/2012,Alberta,"Total, custodial admissions",Female,6036
2011/2012,Alberta,"Total, custodial admissions",Sex unknown,0
2011/2012,Alberta,Sentenced,"Total, custodial admission by sex",17719
2011/2012,Alberta,Sentenced,Male,14966
2011/2012,Alberta,Sentenced,Female,2753
2011/2012,Alberta,Sentenced,Sex unknown,0
2011/2012,Alberta,Remand,"Total, custodial admission by sex",22406
2011/2012,Alberta,Remand,Male,19123
2011/2012,Alberta,Remand,Female,3283
2011/2012,Alberta,Remand,Sex unknown,0
2011/2012,Alberta,Other custodial statuses,"Total, custodial admission by sex",0
2011/2012,Alberta,Other custodial statuses,Male,0
2011/2012,Alberta,Other custodial statuses,Female,0
2011/2012,Alberta,Other custodial statuses,Sex unknown,0
2011/2012,British Columbia,"Total, custodial admissions","Total, custodial admission by sex",23130
2011/2012,British Columbia,"Total, custodial admissions",Male,20753
2011/2012,British Columbia,"Total, custodial admissions",Female,2376
2011/2012,British Columbia,"Total, custodial admissions",Sex unknown,1
2011/2012,British Columbia,Sentenced,"Total, custodial admission by sex",8924
2011/2012,British Columbia,Sentenced,Male,7982
2011/2012,British Columbia,Sentenced,Female,942
2011/2012,British Columbia,Sentenced,Sex unknown,0
2011/2012,British Columbia,Remand,"Total, custodial admission by sex",12726
2011/2012,British Columbia,Remand,Male,11378
2011/2012,British Columbia,Remand,Female,1347
2011/2012,British Columbia,Remand,Sex unknown,1
2011/2012,British Columbia,Other custodial statuses,"Total, custodial admission by sex",1480
2011/2012,British Columbia,Other custodial statuses,Male,1393
2011/2012,British Columbia,Other custodial statuses,Female,87
2011/2012,British Columbia,Other custodial statuses,Sex unknown,0
2011/2012,Yukon,"Total, custodial admissions","Total, custodial admission by sex",707
2011/2012,Yukon,"Total, custodial admissions",Male,621
2011/2012,Yukon,"Total, custodial admissions",Female,86
2011/2012,Yukon,"Total, custodial admissions",Sex unknown,0
2011/2012,Yukon,Sentenced,"Total, custodial admission by sex",234
2011/2012,Yukon,Sentenced,Male,213
2011/2012,Yukon,Sentenced,Female,21
2011/2012,Yukon,Sentenced,Sex unknown,0
2011/2012,Yukon,Remand,"Total, custodial admission by sex",464
2011/2012,Yukon,Remand,Male,400
2011/2012,Yukon,Remand,Female,64
2011/2012,Yukon,Remand,Sex unknown,0
2011/2012,Yukon,Other custodial statuses,"Total, custodial admission by sex",9
2011/2012,Yukon,Other custodial statuses,Male,8
2011/2012,Yukon,Other custodial statuses,Female,1
2011/2012,Yukon,Other custodial statuses,Sex unknown,0
2011/2012,Northwest Territories,"Total, custodial admissions","Total, custodial admission by sex",1171
2011/2012,Northwest Territories,"Total, custodial admissions",Male,1082
2011/2012,Northwest Territories,"Total, custodial admissions",Female,89
2011/2012,Northwest Territories,"Total, custodial admissions",Sex unknown,0
2011/2012,Northwest Territories,Sentenced,"Total, custodial admission by sex",595
2011/2012,Northwest Territories,Sentenced,Male,539
2011/2012,Northwest Territories,Sentenced,Female,56
2011/2012,Northwest Territories,Sentenced,Sex unknown,0
2011/2012,Northwest Territories,Remand,"Total, custodial admission by sex",576
2011/2012,Northwest Territories,Remand,Male,543
2011/2012,Northwest Territories,Remand,Female,33
2011/2012,Northwest Territories,Remand,Sex unknown,0
2011/2012,Northwest Territories,Other custodial statuses,"Total, custodial admission by sex",
2011/2012,Northwest Territories,Other custodial statuses,Male,
2011/2012,Northwest Territories,Other custodial statuses,Female,
2011/2012,Northwest Territories,Other custodial statuses,Sex unknown,
2011/2012,Nunavut,"Total, custodial admissions","Total, custodial admission by sex",762
2011/2012,Nunavut,"Total, custodial admissions",Male,726
2011/2012,Nunavut,"Total, custodial admissions",Female,36
2011/2012,Nunavut,"Total, custodial admissions",Sex unknown,0
2011/2012,Nunavut,Sentenced,"Total, custodial admission by sex",417
2011/2012,Nunavut,Sentenced,Male,404
2011/2012,Nunavut,Sentenced,Female,13
2011/2012,Nunavut,Sentenced,Sex unknown,0
2011/2012,Nunavut,Remand,"Total, custodial admission by sex",345
2011/2012,Nunavut,Remand,Male,322
2011/2012,Nunavut,Remand,Female,23
2011/2012,Nunavut,Remand,Sex unknown,0
2012/2013,All Provinces and territories,"Total, custodial admissions","Total, custodial admission by sex",208444
2012/2013,All Provinces and territories,"Total, custodial admissions",Male,182572
2012/2013,All Provinces and territories,"Total, custodial admissions",Female,25610
2012/2013,All Provinces and territories,"Total, custodial admissions",Sex unknown,262
2012/2013,All Provinces and territories,Sentenced,"Total, custodial admission by sex",65922
2012/2013,All Provinces and territories,Sentenced,Male,59010
2012/2013,All Provinces and territories,Sentenced,Female,6817
2012/2013,All Provinces and territories,Sentenced,Sex unknown,95
2012/2013,All Provinces and territories,Remand,"Total, custodial admission by sex",123736
2012/2013,All Provinces and territories,Remand,Male,107817
2012/2013,All Provinces and territories,Remand,Female,15763
2012/2013,All Provinces and territories,Remand,Sex unknown,156
2012/2013,All Provinces and territories,Other custodial statuses,"Total, custodial admission by sex",18786
2012/2013,All Provinces and territories,Other custodial statuses,Male,15745
2012/2013,All Provinces and territories,Other custodial statuses,Female,3030
2012/2013,All Provinces and territories,Other custodial statuses,Sex unknown,11
2012/2013,Newfoundland and Labrador,"Total, custodial admissions","Total, custodial admission by sex",1896
2012/2013,Newfoundland and Labrador,"Total, custodial admissions",Male,1692
2012/2013,Newfoundland and Labrador,"Total, custodial admissions",Female,188
2012/2013,Newfoundland and Labrador,"Total, custodial admissions",Sex unknown,16
2012/2013,Newfoundland and Labrador,Sentenced,"Total, custodial admission by sex",1110
2012/2013,Newfoundland and Labrador,Sentenced,Male,991
2012/2013,Newfoundland and Labrador,Sentenced,Female,113
2012/2013,Newfoundland and Labrador,Sentenced,Sex unknown,6
2012/2013,Newfoundland and Labrador,Remand,"Total, custodial admission by sex",674
2012/2013,Newfoundland and Labrador,Remand,Male,597
2012/2013,Newfoundland and Labrador,Remand,Female,68
2012/2013,Newfoundland and Labrador,Remand,Sex unknown,9
2012/2013,Newfoundland and Labrador,Other custodial statuses,"Total, custodial admission by sex",112
2012/2013,Newfoundland and Labrador,Other custodial statuses,Male,104
2012/2013,Newfoundland and Labrador,Other custodial statuses,Female,7
2012/2013,Newfoundland and Labrador,Other custodial statuses,Sex unknown,1
2012/2013,Prince Edward Island,"Total, custodial admissions","Total, custodial admission by sex",799
2012/2013,Prince Edward Island,"Total, custodial admissions",Male,689
2012/2013,Prince Edward Island,"Total, custodial admissions",Female,110
2012/2013,Prince Edward Island,"Total, custodial admissions",Sex unknown,0
2012/2013,Prince Edward Island,Sentenced,"Total, custodial admission by sex",608
2012/2013,Prince Edward Island,Sentenced,Male,524
2012/2013,Prince Edward Island,Sentenced,Female,84
2012/2013,Prince Edward Island,Sentenced,Sex unknown,0
2012/2013,Prince Edward Island,Remand,"Total, custodial admission by sex",189
2012/2013,Prince Edward Island,Remand,Male,163
2012/2013,Prince Edward Island,Remand,Female,26
2012/2013,Prince Edward Island,Remand,Sex unknown,0
2012/2013,Prince Edward Island,Other custodial statuses,"Total, custodial admission by sex",2
2012/2013,Prince Edward Island,Other custodial statuses,Male,2
2012/2013,Prince Edward Island,Other custodial statuses,Female,0
2012/2013,Prince Edward Island,Other custodial statuses,Sex unknown,0
2012/2013,Nova Scotia,"Total, custodial admissions","Total, custodial admission by sex",5433
2012/2013,Nova Scotia,"Total, custodial admissions",Male,4581
2012/2013,Nova Scotia,"Total, custodial admissions",Female,626
2012/2013,Nova Scotia,"Total, custodial admissions",Sex unknown,226
2012/2013,Nova Scotia,Sentenced,"Total, custodial admission by sex",2080
2012/2013,Nova Scotia,Sentenced,Male,1773
2012/2013,Nova Scotia,Sentenced,Female,225
2012/2013,Nova Scotia,Sentenced,Sex unknown,82
2012/2013,Nova Scotia,Remand,"Total, custodial admission by sex",3055
2012/2013,Nova Scotia,Remand,Male,2534
2012/2013,Nova Scotia,Remand,Female,386
2012/2013,Nova Scotia,Remand,Sex unknown,135
2012/2013,Nova Scotia,Other custodial statuses,"Total, custodial admission by sex",298
2012/2013,Nova Scotia,Other custodial statuses,Male,274
2012/2013,Nova Scotia,Other custodial statuses,Female,15
2012/2013,Nova Scotia,Other custodial statuses,Sex unknown,9
2012/2013,New Brunswick,"Total, custodial admissions","Total, custodial admission by sex",5220
2012/2013,New Brunswick,"Total, custodial admissions",Male,4552
2012/2013,New Brunswick,"Total, custodial admissions",Female,668
2012/2013,New Brunswick,"Total, custodial admissions",Sex unknown,0
2012/2013,New Brunswick,Sentenced,"Total, custodial admission by sex",2590
2012/2013,New Brunswick,Sentenced,Male,2303
2012/2013,New Brunswick,Sentenced,Female,287
2012/2013,New Brunswick,Sentenced,Sex unknown,0
2012/2013,New Brunswick,Remand,"Total, custodial admission by sex",2240
2012/2013,New Brunswick,Remand,Male,1964
2012/2013,New Brunswick,Remand,Female,276
2012/2013,New Brunswick,Remand,Sex unknown,0
2012/2013,New Brunswick,Other custodial statuses,"Total, custodial admission by sex",390
2012/2013,New Brunswick,Other custodial statuses,Male,285
2012/2013,New Brunswick,Other custodial statuses,Female,105
2012/2013,New Brunswick,Other custodial statuses,Sex unknown,0
2012/2013,Quebec,"Total, custodial admissions","Total, custodial admission by sex",42720
2012/2013,Quebec,"Total, custodial admissions",Male,38531
2012/2013,Quebec,"Total, custodial admissions",Female,4189
2012/2013,Quebec,"Total, custodial admissions",Sex unknown,0
2012/2013,Quebec,Sentenced,"Total, custodial admission by sex",8416
2012/2013,Quebec,Sentenced,Male,7657
2012/2013,Quebec,Sentenced,Female,759
2012/2013,Quebec,Sentenced,Sex unknown,0
2012/2013,Quebec,Remand,"Total, custodial admission by sex",30989
2012/2013,Quebec,Remand,Male,27984
2012/2013,Quebec,Remand,Female,3005
2012/2013,Quebec,Remand,Sex unknown,0
2012/2013,Quebec,Other custodial statuses,"Total, custodial admission by sex",3315
2012/2013,Quebec,Other custodial statuses,Male,2890
2012/2013,Quebec,Other custodial statuses,Female,425
2012/2013,Quebec,Other custodial statuses,Sex unknown,0
2012/2013,Ontario,"Total, custodial admissions","Total, custodial admission by sex",88331
2012/2013,Ontario,"Total, custodial admissions",Male,77485
2012/2013,Ontario,"Total, custodial admissions",Female,10846
2012/2013,Ontario,"Total, custodial admissions",Sex unknown,0
2012/2013,Ontario,Sentenced,"Total, custodial admission by sex",30349
2012/2013,Ontario,Sentenced,Male,27274
2012/2013,Ontario,Sentenced,Female,3075
2012/2013,Ontario,Sentenced,Sex unknown,0
2012/2013,Ontario,Remand,"Total, custodial admission by sex",52744
2012/2013,Ontario,Remand,Male,45411
2012/2013,Ontario,Remand,Female,7333
2012/2013,Ontario,Remand,Sex unknown,0
2012/2013,Ontario,Other custodial statuses,"Total, custodial admission by sex",5238
2012/2013,Ontario,Other custodial statuses,Male,4800
2012/2013,Ontario,Other custodial statuses,Female,438
2012/2013,Ontario,Other custodial statuses,Sex unknown,0
2012/2013,Manitoba,"Total, custodial admissions","Total, custodial admission by sex",27376
2012/2013,Manitoba,"Total, custodial admissions",Male,22162
2012/2013,Manitoba,"Total, custodial admissions",Female,5211
2012/2013,Manitoba,"Total, custodial admissions",Sex unknown,3
2012/2013,Manitoba,Sentenced,"Total, custodial admission by sex",6220
2012/2013,Manitoba,Sentenced,Male,5539
2012/2013,Manitoba,Sentenced,Female,681
2012/2013,Manitoba,Sentenced,Sex unknown,0
2012/2013,Manitoba,Remand,"Total, custodial admission by sex",13351
2012/2013,Manitoba,Remand,Male,10763
2012/2013,Manitoba,Remand,Female,2586
2012/2013,Manitoba,Remand,Sex unknown,2
2012/2013,Manitoba,Other custodial statuses,"Total, custodial admission by sex",7805
2012/2013,Manitoba,Other custodial statuses,Male,5860
2012/2013,Manitoba,Other custodial statuses,Female,1944
2012/2013,Manitoba,Other custodial statuses,Sex unknown,1
2012/2013,Saskatchewan,"Total, custodial admissions","Total, custodial admission by sex",11340
2012/2013,Saskatchewan,"Total, custodial admissions",Male,10079
2012/2013,Saskatchewan,"Total, custodial admissions",Female,1244
2012/2013,Saskatchewan,"Total, custodial admissions",Sex unknown,17
2012/2013,Saskatchewan,Sentenced,"Total, custodial admission by sex",4418
2012/2013,Saskatchewan,Sentenced,Male,3817
2012/2013,Saskatchewan,Sentenced,Female,594
2012/2013,Saskatchewan,Sentenced,Sex unknown,7
2012/2013,Saskatchewan,Remand,"Total, custodial admission by sex",6722
2012/2013,Saskatchewan,Remand,Male,6076
2012/2013,Saskatchewan,Remand,Female,636
2012/2013,Saskatchewan,Remand,Sex unknown,10
2012/2013,Saskatchewan,Other custodial statuses,"Total, custodial admission by sex",200
2012/2013,Saskatchewan,Other custodial statuses,Male,186
2012/2013,Saskatchewan,Other custodial statuses,Female,14
2012/2013,Saskatchewan,Other custodial statuses,Sex unknown,0
2012/2013,Alberta,"Total, custodial admissions","Total, custodial admission by sex",
2012/2013,Alberta,"Total, custodial admissions",Male,
2012/2013,Alberta,"Total, custodial admissions",Female,
2012/2013,Alberta,"Total, custodial admissions",Sex unknown,
2012/2013,Alberta,Sentenced,"Total, custodial admission by sex",
2012/2013,Alberta,Sentenced,Male,
2012/2013,Alberta,Sentenced,Female,
2012/2013,Alberta,Sentenced,Sex unknown,
2012/2013,Alberta,Remand,"Total, custodial admission by sex",
2012/2013,Alberta,Remand,Male,
2012/2013,Alberta,Remand,Female,
2012/2013,Alberta,Remand,Sex unknown,
2012/2013,Alberta,Other custodial statuses,"Total, custodial admission by sex",
2012/2013,Alberta,Other custodial statuses,Male,
2012/2013,Alberta,Other custodial statuses,Female,
2012/2013,Alberta,Other custodial statuses,Sex unknown,
2012/2013,British Columbia,"Total, custodial admissions","Total, custodial admission by sex",22611
2012/2013,British Columbia,"Total, custodial admissions",Male,20289
2012/2013,British Columbia,"Total, custodial admissions",Female,2322
2012/2013,British Columbia,"Total, custodial admissions",Sex unknown,0
2012/2013,British Columbia,Sentenced,"Total, custodial admission by sex",8907
2012/2013,British Columbia,Sentenced,Male,7994
2012/2013,British Columbia,Sentenced,Female,913
2012/2013,British Columbia,Sentenced,Sex unknown,0
2012/2013,British Columbia,Remand,"Total, custodial admission by sex",12289
2012/2013,British Columbia,Remand,Male,10962
2012/2013,British Columbia,Remand,Female,1327
2012/2013,British Columbia,Remand,Sex unknown,0
2012/2013,British Columbia,Other custodial statuses,"Total, custodial admission by sex",1415
2012/2013,British Columbia,Other custodial statuses,Male,1333
2012/2013,British Columbia,Other custodial statuses,Female,82
2012/2013,British Columbia,Other custodial statuses,Sex unknown,0
2012/2013,Yukon,"Total, custodial admissions","Total, custodial admission by sex",807
2012/2013,Yukon,"Total, custodial admissions",Male,719
2012/2013,Yukon,"Total, custodial admissions",Female,88
2012/2013,Yukon,"Total, custodial admissions",Sex unknown,0
2012/2013,Yukon,Sentenced,"Total, custodial admission by sex",272
2012/2013,Yukon,Sentenced,Male,244
2012/2013,Yukon,Sentenced,Female,28
2012/2013,Yukon,Sentenced,Sex unknown,0
2012/2013,Yukon,Remand,"Total, custodial admission by sex",524
2012/2013,Yukon,Remand,Male,464
2012/2013,Yukon,Remand,Female,60
2012/2013,Yukon,Remand,Sex unknown,0
2012/2013,Yukon,Other custodial statuses,"Total, custodial admission by sex",11
2012/2013,Yukon,Other custodial statuses,Male,11
2012/2013,Yukon,Other custodial statuses,Female,0
2012/2013,Yukon,Other custodial statuses,Sex unknown,0
2012/2013,Northwest Territories,"Total, custodial admissions","Total, custodial admission by sex",1043
2012/2013,Northwest Territories,"Total, custodial admissions",Male,966
2012/2013,Northwest Territories,"Total, custodial admissions",Female,77
2012/2013,Northwest Territories,"Total, custodial admissions",Sex unknown,0
2012/2013,Northwest Territories,Sentenced,"Total, custodial admission by sex",523
2012/2013,Northwest Territories,Sentenced,Male,482
2012/2013,Northwest Territories,Sentenced,Female,41
2012/2013,Northwest Territories,Sentenced,Sex unknown,0
2012/2013,Northwest Territories,Remand,"Total, custodial admission by sex",520
2012/2013,Northwest Territories,Remand,Male,484
2012/2013,Northwest Territories,Remand,Female,36
2012/2013,Northwest Territories,Remand,Sex unknown,0
2012/2013,Northwest Territories,Other custodial statuses,"Total, custodial admission by sex",
2012/2013,Northwest Territories,Other custodial statuses,Male,
2012/2013,Northwest Territories,Other custodial statuses,Female,
2012/2013,Northwest Territories,Other custodial statuses,Sex unknown,
2012/2013,Nunavut,"Total, custodial admissions","Total, custodial admission by sex",868
2012/2013,Nunavut,"Total, custodial admissions",Male,827
2012/2013,Nunavut,"Total, custodial admissions",Female,41
2012/2013,Nunavut,"Total, custodial admissions",Sex unknown,0
2012/2013,Nunavut,Sentenced,"Total, custodial admission by sex",429
2012/2013,Nunavut,Sentenced,Male,412
2012/2013,Nunavut,Sentenced,Female,17
2012/2013,Nunavut,Sentenced,Sex unknown,0
2012/2013,Nunavut,Remand,"Total, custodial admission by sex",439
2012/2013,Nunavut,Remand,Male,415
2012/2013,Nunavut,Remand,Female,24
2012/2013,Nunavut,Remand,Sex unknown,0
2013/2014,All Provinces and territories,"Total, custodial admissions","Total, custodial admission by sex",201099
2013/2014,All Provinces and territories,"Total, custodial admissions",Male,175261
2013/2014,All Provinces and territories,"Total, custodial admissions",Female,25569
2013/2014,All Provinces and territories,"Total, custodial admissions",Sex unknown,269
2013/2014,All Provinces and territories,Sentenced,"Total, custodial admission by sex",64604
2013/2014,All Provinces and territories,Sentenced,Male,57596
2013/2014,All Provinces and territories,Sentenced,Female,6906
2013/2014,All Provinces and territories,Sentenced,Sex unknown,102
2013/2014,All Provinces and territories,Remand,"Total, custodial admission by sex",118512
2013/2014,All Provinces and territories,Remand,Male,102656
2013/2014,All Provinces and territories,Remand,Female,15702
2013/2014,All Provinces and territories,Remand,Sex unknown,154
2013/2014,All Provinces and territories,Other custodial statuses,"Total, custodial admission by sex",17983
2013/2014,All Provinces and territories,Other custodial statuses,Male,15009
2013/2014,All Provinces and territories,Other custodial statuses,Female,2961
2013/2014,All Provinces and territories,Other custodial statuses,Sex unknown,13
2013/2014,Newfoundland and Labrador,"Total, custodial admissions","Total, custodial admission by sex",1901
2013/2014,Newfoundland and Labrador,"Total, custodial admissions",Male,1680
2013/2014,Newfoundland and Labrador,"Total, custodial admissions",Female,216
2013/2014,Newfoundland and Labrador,"Total, custodial admissions",Sex unknown,5
2013/2014,Newfoundland and Labrador,Sentenced,"Total, custodial admission by sex",1085
2013/2014,Newfoundland and Labrador,Sentenced,Male,962
2013/2014,Newfoundland and Labrador,Sentenced,Female,121
2013/2014,Newfoundland and Labrador,Sentenced,Sex unknown,2
2013/2014,Newfoundland and Labrador,Remand,"Total, custodial admission by sex",719
2013/2014,Newfoundland and Labrador,Remand,Male,630
2013/2014,Newfoundland and Labrador,Remand,Female,86
2013/2014,Newfoundland and Labrador,Remand,Sex unknown,3
2013/2014,Newfoundland and Labrador,Other custodial statuses,"Total, custodial admission by sex",97
2013/2014,Newfoundland and Labrador,Other custodial statuses,Male,88
2013/2014,Newfoundland and Labrador,Other custodial statuses,Female,9
2013/2014,Newfoundland and Labrador,Other custodial statuses,Sex unknown,0
2013/2014,Prince Edward Island,"Total, custodial admissions","Total, custodial admission by sex",779
2013/2014,Prince Edward Island,"Total, custodial admissions",Male,661
2013/2014,Prince Edward Island,"Total, custodial admissions",Female,118
2013/2014,Prince Edward Island,"Total, custodial admissions",Sex unknown,0
2013/2014,Prince Edward Island,Sentenced,"Total, custodial admission by sex",562
2013/2014,Prince Edward Island,Sentenced,Male,470
2013/2014,Prince Edward Island,Sentenced,Female,92
2013/2014,Prince Edward Island,Sentenced,Sex unknown,0
2013/2014,Prince Edward Island,Remand,"Total, custodial admission by sex",216
2013/2014,Prince Edward Island,Remand,Male,190
2013/2014,Prince Edward Island,Remand,Female,26
2013/2014,Prince Edward Island,Remand,Sex unknown,0
2013/2014,Prince Edward Island,Other custodial statuses,"Total, custodial admission by sex",1
2013/2014,Prince Edward Island,Other custodial statuses,Male,1
2013/2014,Prince Edward Island,Other custodial statuses,Female,0
2013/2014,Prince Edward Island,Other custodial statuses,Sex unknown,0
2013/2014,Nova Scotia,"Total, custodial admissions","Total, custodial admission by sex",5403
2013/2014,Nova Scotia,"Total, custodial admissions",Male,4508
2013/2014,Nova Scotia,"Total, custodial admissions",Female,643
2013/2014,Nova Scotia,"Total, custodial admissions",Sex unknown,252
2013/2014,Nova Scotia,Sentenced,"Total, custodial admission by sex",2053
2013/2014,Nova Scotia,Sentenced,Male,1760
2013/2014,Nova Scotia,Sentenced,Female,199
2013/2014,Nova Scotia,Sentenced,Sex unknown,94
2013/2014,Nova Scotia,Remand,"Total, custodial admission by sex",3093
2013/2014,Nova Scotia,Remand,Male,2523
2013/2014,Nova Scotia,Remand,Female,422
2013/2014,Nova Scotia,Remand,Sex unknown,148
2013/2014,Nova Scotia,Other custodial statuses,"Total, custodial admission by sex",257
2013/2014,Nova Scotia,Other custodial statuses,Male,225
2013/2014,Nova Scotia,Other custodial statuses,Female,22
2013/2014,Nova Scotia,Other custodial statuses,Sex unknown,10
2013/2014,New Brunswick,"Total, custodial admissions","Total, custodial admission by sex",4799
2013/2014,New Brunswick,"Total, custodial admissions",Male,4088
2013/2014,New Brunswick,"Total, custodial admissions",Female,711
2013/2014,New Brunswick,"Total, custodial admissions",Sex unknown,0
2013/2014,New Brunswick,Sentenced,"Total, custodial admission by sex",2278
2013/2014,New Brunswick,Sentenced,Male,1965
2013/2014,New Brunswick,Sentenced,Female,313
2013/2014,New Brunswick,Sentenced,Sex unknown,0
2013/2014,New Brunswick,Remand,"Total, custodial admission by sex",2054
2013/2014,New Brunswick,Remand,Male,1768
2013/2014,New Brunswick,Remand,Female,286
2013/2014,New Brunswick,Remand,Sex unknown,0
2013/2014,New Brunswick,Other custodial statuses,"Total, custodial admission by sex",467
2013/2014,New Brunswick,Other custodial statuses,Male,355
2013/2014,New Brunswick,Other custodial statuses,Female,112
2013/2014,New Brunswick,Other custodial statuses,Sex unknown,0
2013/2014,Quebec,"Total, custodial admissions","Total, custodial admission by sex",43561
2013/2014,Quebec,"Total, custodial admissions",Male,39202
2013/2014,Quebec,"Total, custodial admissions",Female,4359
2013/2014,Quebec,"Total, custodial admissions",Sex unknown,0
2013/2014,Quebec,Sentenced,"Total, custodial admission by sex",9752
2013/2014,Quebec,Sentenced,Male,8888
2013/2014,Quebec,Sentenced,Female,864
2013/2014,Quebec,Sentenced,Sex unknown,0
2013/2014,Quebec,Remand,"Total, custodial admission by sex",30556
2013/2014,Quebec,Remand,Male,27529
2013/2014,Quebec,Remand,Female,3027
2013/2014,Quebec,Remand,Sex unknown,0
2013/2014,Quebec,Other custodial statuses,"Total, custodial admission by sex",3253
2013/2014,Quebec,Other custodial statuses,Male,2785
2013/2014,Quebec,Other custodial statuses,Female,468
2013/2014,Quebec,Other custodial statuses,Sex unknown,0
2013/2014,Ontario,"Total, custodial admissions","Total, custodial admission by sex",80700
2013/2014,Ontario,"Total, custodial admissions",Male,70451
2013/2014,Ontario,"Total, custodial admissions",Female,10249
2013/2014,Ontario,"Total, custodial admissions",Sex unknown,0
2013/2014,Ontario,Sentenced,"Total, custodial admission by sex",27724
2013/2014,Ontario,Sentenced,Male,24849
2013/2014,Ontario,Sentenced,Female,2875
2013/2014,Ontario,Sentenced,Sex unknown,0
2013/2014,Ontario,Remand,"Total, custodial admission by sex",48328
2013/2014,Ontario,Remand,Male,41350
2013/2014,Ontario,Remand,Female,6978
2013/2014,Ontario,Remand,Sex unknown,0
2013/2014,Ontario,Other custodial statuses,"Total, custodial admission by sex",4648
2013/2014,Ontario,Other custodial statuses,Male,4252
2013/2014,Ontario,Other custodial statuses,Female,396
2013/2014,Ontario,Other custodial statuses,Sex unknown,0
2013/2014,Manitoba,"Total, custodial admissions","Total, custodial admission by sex",27082
2013/2014,Manitoba,"Total, custodial admissions",Male,21945
2013/2014,Manitoba,"Total, custodial admissions",Female,5135
2013/2014,Manitoba,"Total, custodial admissions",Sex unknown,2
2013/2014,Manitoba,Sentenced,"Total, custodial admission by sex",6316
2013/2014,Manitoba,Sentenced,Male,5579
