REF_DATE,GEO,Custodial and community supervision,VALUE
2000/2001,Alberta,Total actual-in count,1903
2000/2001,Alberta,"Sentenced, actual-in count",1323
2000/2001,Alberta,"Remand, actual-in count",580
2000/2001,Alberta,On-register count,2171
2000/2001,Alberta,"Incarceration rates per 100,000 adults",84.9
2000/2001,Alberta,Total community supervision count,9667
2000/2001,Alberta,"Probation, community supervision",8696
2000/2001,Alberta,"Conditional sentence, community supervision",971
2000/2001,Alberta,"Probation rates per 100,000 adults",387.98
2000/2001,British Columbia,Total actual-in count,2486
2000/2001,British Columbia,"Sentenced, actual-in count",1476
2000/2001,British Columbia,"Remand, actual-in count",811
2000/2001,British Columbia,"Other statuses, actual-in count",199
2000/2001,British Columbia,On-register count,2648
2000/2001,British Columbia,"Incarceration rates per 100,000 adults",79.18
2000/2001,British Columbia,Total community supervision count,15715
2000/2001,British Columbia,"Probation, community supervision",13854
2000/2001,British Columbia,"Conditional sentence, community supervision",1612
2000/2001,British Columbia,"Provincial parole, community supervision",249
2000/2001,British Columbia,"Probation rates per 100,000 adults",441.23
2000/2001,Yukon,Total actual-in count,52.9
2000/2001,Yukon,"Sentenced, actual-in count",34.9
2000/2001,Yukon,"Remand, actual-in count",18
2000/2001,Yukon,"Other statuses, actual-in count",
2000/2001,Yukon,On-register count,60
2000/2001,Yukon,"Incarceration rates per 100,000 adults",235.81
2000/2001,Yukon,Total community supervision count,419.7
2000/2001,Yukon,"Probation, community supervision",375
2000/2001,Yukon,"Conditional sentence, community supervision",44.7
2000/2001,Yukon,"Probation rates per 100,000 adults",1672.91
2000/2001,Northwest Territories,Total actual-in count,191
2000/2001,Northwest Territories,"Sentenced, actual-in count",163
2000/2001,Northwest Territories,"Remand, actual-in count",28
2000/2001,Northwest Territories,"Other statuses, actual-in count",
2000/2001,Northwest Territories,On-register count,
2000/2001,Northwest Territories,"Incarceration rates per 100,000 adults",690.95
2000/2001,Northwest Territories,Total community supervision count,
2000/2001,Northwest Territories,"Probation, community supervision",
2000/2001,Northwest Territories,"Conditional sentence, community supervision",
2000/2001,Northwest Territories,"Probation rates per 100,000 adults",
2000/2001,Nunavut,Total actual-in count,
2000/2001,Nunavut,"Sentenced, actual-in count",
2000/2001,Nunavut,"Remand, actual-in count",
2000/2001,Nunavut,"Other statuses, actual-in count",
2000/2001,Nunavut,On-register count,
2000/2001,Nunavut,"Incarceration rates per 100,000 adults",
2000/2001,Nunavut,Total community supervision count,
2000/2001,Nunavut,"Probation, community supervision",
2000/2001,Nunavut,"Conditional sentence, community supervision",
2000/2001,Nunavut,"Probation rates per 100,000 adults",
2001/2002,Provinces and Territories,Total actual-in count,19148.4
2001/2002,Provinces and Territories,"Sentenced, actual-in count",10900.6
2001/2002,Provinces and Territories,"Remand, actual-in count",7943.8
2001/2002,Provinces and Territories,"Other statuses, actual-in count",304.1
2001/2002,Provinces and Territories,On-register count,21569.7
2001/2002,Provinces and Territories,"Incarceration rates per 100,000 adults",80.18
2001/2002,Provinces and Territories,Total community supervision count,115152.1
2001/2002,Provinces and Territories,"Probation, community supervision",101848.6
2001/2002,Provinces and Territories,"Conditional sentence, community supervision",11916.5
2001/2002,Provinces and Territories,"Provincial parole, community supervision",1387
2001/2002,Provinces and Territories,"Probation rates per 100,000 adults",437.75
2001/2002,Newfoundland and Labrador,Total actual-in count,316.8
2001/2002,Newfoundland and Labrador,"Sentenced, actual-in count",256.2
2001/2002,Newfoundland and Labrador,"Remand, actual-in count",51
2001/2002,Newfoundland and Labrador,"Other statuses, actual-in count",9.6
2001/2002,Newfoundland and Labrador,On-register count,360
2001/2002,Newfoundland and Labrador,"Incarceration rates per 100,000 adults",77.46
2001/2002,Newfoundland and Labrador,Total community supervision count,2332
2001/2002,Newfoundland and Labrador,"Probation, community supervision",2238
2001/2002,Newfoundland and Labrador,"Conditional sentence, community supervision",94
2001/2002,Newfoundland and Labrador,"Probation rates per 100,000 adults",547.18
2001/2002,Prince Edward Island,Total actual-in count,64.7
2001/2002,Prince Edward Island,"Sentenced, actual-in count",50.7
2001/2002,Prince Edward Island,"Remand, actual-in count",11
2001/2002,Prince Edward Island,"Other statuses, actual-in count",3
2001/2002,Prince Edward Island,On-register count,64.7
2001/2002,Prince Edward Island,"Incarceration rates per 100,000 adults",62.38
2001/2002,Prince Edward Island,Total community supervision count,721
2001/2002,Prince Edward Island,"Probation, community supervision",705
2001/2002,Prince Edward Island,"Conditional sentence, community supervision",16
2001/2002,Prince Edward Island,"Probation rates per 100,000 adults",679.38
2001/2002,Nova Scotia,Total actual-in count,307.1
2001/2002,Nova Scotia,"Sentenced, actual-in count",186.6
2001/2002,Nova Scotia,"Remand, actual-in count",112
2001/2002,Nova Scotia,"Other statuses, actual-in count",8.5
2001/2002,Nova Scotia,On-register count,361
2001/2002,Nova Scotia,"Incarceration rates per 100,000 adults",42.2
2001/2002,Nova Scotia,Total community supervision count,4441.9
2001/2002,Nova Scotia,"Probation, community supervision",4051.9
2001/2002,Nova Scotia,"Conditional sentence, community supervision",390
2001/2002,Nova Scotia,"Probation rates per 100,000 adults",556.73
2001/2002,New Brunswick,Total actual-in count,298
2001/2002,New Brunswick,"Sentenced, actual-in count",208
2001/2002,New Brunswick,"Remand, actual-in count",90
2001/2002,New Brunswick,"Other statuses, actual-in count",
2001/2002,New Brunswick,On-register count,397
2001/2002,New Brunswick,"Incarceration rates per 100,000 adults",50.73
2001/2002,New Brunswick,Total community supervision count,
2001/2002,New Brunswick,"Probation, community supervision",
2001/2002,New Brunswick,"Conditional sentence, community supervision",
2001/2002,New Brunswick,"Probation rates per 100,000 adults",
2001/2002,Quebec,Total actual-in count,3531.1
2001/2002,Quebec,"Sentenced, actual-in count",2212.7
2001/2002,Quebec,"Remand, actual-in count",1318.4
2001/2002,Quebec,On-register count,4729
2001/2002,Quebec,"Incarceration rates per 100,000 adults",60.72
2001/2002,Quebec,Total community supervision count,12435.7
2001/2002,Quebec,"Probation, community supervision",8388.7
2001/2002,Quebec,"Conditional sentence, community supervision",3201
2001/2002,Quebec,"Provincial parole, community supervision",846
2001/2002,Quebec,"Probation rates per 100,000 adults",144.25
2001/2002,Ontario,Total actual-in count,7850
2001/2002,Ontario,"Sentenced, actual-in count",3631
2001/2002,Ontario,"Remand, actual-in count",3999
2001/2002,Ontario,"Other statuses, actual-in count",220
2001/2002,Ontario,On-register count,8420
2001/2002,Ontario,"Incarceration rates per 100,000 adults",86.23
2001/2002,Ontario,Total community supervision count,56633
2001/2002,Ontario,"Probation, community supervision",53347
2001/2002,Ontario,"Conditional sentence, community supervision",3010
2001/2002,Ontario,"Provincial parole, community supervision",276
2001/2002,Ontario,"Probation rates per 100,000 adults",585.97
2001/2002,Manitoba,Total actual-in count,1114.8
2001/2002,Manitoba,"Sentenced, actual-in count",544.8
2001/2002,Manitoba,"Remand, actual-in count",570
2001/2002,Manitoba,On-register count,1336
2001/2002,Manitoba,"Incarceration rates per 100,000 adults",129.17
2001/2002,Manitoba,Total community supervision count,7700
2001/2002,Manitoba,"Probation, community supervision",6920
2001/2002,Manitoba,"Conditional sentence, community supervision",780
2001/2002,Manitoba,"Probation rates per 100,000 adults",801.79
2001/2002,Saskatchewan,Total actual-in count,1142
2001/2002,Saskatchewan,"Sentenced, actual-in count",839
2001/2002,Saskatchewan,"Remand, actual-in count",303
2001/2002,Saskatchewan,On-register count,1237
2001/2002,Saskatchewan,"Incarceration rates per 100,000 adults",153.92
2001/2002,Saskatchewan,Total community supervision count,5068
2001/2002,Saskatchewan,"Probation, community supervision",3974
2001/2002,Saskatchewan,"Conditional sentence, community supervision",1094
2001/2002,Saskatchewan,"Probation rates per 100,000 adults",535.61
2001/2002,Alberta,Total actual-in count,2083
2001/2002,Alberta,"Sentenced, actual-in count",1369
2001/2002,Alberta,"Remand, actual-in count",714
2001/2002,Alberta,On-register count,2324
2001/2002,Alberta,"Incarceration rates per 100,000 adults",90.78
2001/2002,Alberta,Total community supervision count,10075
2001/2002,Alberta,"Probation, community supervision",8816
2001/2002,Alberta,"Conditional sentence, community supervision",1259
2001/2002,Alberta,"Probation rates per 100,000 adults",384.22
2001/2002,British Columbia,Total actual-in count,2202.4
2001/2002,British Columbia,"Sentenced, actual-in count",1400
2001/2002,British Columbia,"Remand, actual-in count",739.4
2001/2002,British Columbia,"Other statuses, actual-in count",63
2001/2002,British Columbia,On-register count,2279
2001/2002,British Columbia,"Incarceration rates per 100,000 adults",69.17
2001/2002,British Columbia,Total community supervision count,15344
2001/2002,British Columbia,"Probation, community supervision",13057
2001/2002,British Columbia,"Conditional sentence, community supervision",2022
2001/2002,British Columbia,"Provincial parole, community supervision",265
2001/2002,British Columbia,"Probation rates per 100,000 adults",410.09
2001/2002,Yukon,Total actual-in count,53.5
2001/2002,Yukon,"Sentenced, actual-in count",36.5
2001/2002,Yukon,"Remand, actual-in count",17
2001/2002,Yukon,"Other statuses, actual-in count",
2001/2002,Yukon,On-register count,62
2001/2002,Yukon,"Incarceration rates per 100,000 adults",238.05
2001/2002,Yukon,Total community supervision count,401.5
2001/2002,Yukon,"Probation, community supervision",351
2001/2002,Yukon,"Conditional sentence, community supervision",50.5
2001/2002,Yukon,"Probation rates per 100,000 adults",1561.76
2001/2002,Northwest Territories,Total actual-in count,185
2001/2002,Northwest Territories,"Sentenced, actual-in count",166
2001/2002,Northwest Territories,"Remand, actual-in count",19
2001/2002,Northwest Territories,"Other statuses, actual-in count",
2001/2002,Northwest Territories,On-register count,
2001/2002,Northwest Territories,"Incarceration rates per 100,000 adults",659.3
2001/2002,Northwest Territories,Total community supervision count,
2001/2002,Northwest Territories,"Probation, community supervision",
2001/2002,Northwest Territories,"Conditional sentence, community supervision",
2001/2002,Northwest Territories,"Probation rates per 100,000 adults",
2001/2002,Nunavut,Total actual-in count,
2001/2002,Nunavut,"Sentenced, actual-in count",
2001/2002,Nunavut,"Remand, actual-in count",
2001/2002,Nunavut,"Other statuses, actual-in count",
2001/2002,Nunavut,On-register count,
2001/2002,Nunavut,"Incarceration rates per 100,000 adults",
2001/2002,Nunavut,Total community supervision count,
2001/2002,Nunavut,"Probation, community supervision",
2001/2002,Nunavut,"Conditional sentence, community supervision",
2001/2002,Nunavut,"Probation rates per 100,000 adults",
2002/2003,Provinces and Territories,Total actual-in count,19579.3
2002/2003,Provinces and Territories,"Sentenced, actual-in count",10555
2002/2003,Provinces and Territories,"Remand, actual-in count",8703.7
2002/2003,Provinces and Territories,"Other statuses, actual-in count",320.6
2002/2003,Provinces and Territories,On-register count,22039.8
2002/2003,Provinces and Territories,"Incarceration rates per 100,000 adults",80.77
2002/2003,Provinces and Territories,Total community supervision count,112552.5
2002/2003,Provinces and Territories,"Probation, community supervision",99039.1
2002/2003,Provinces and Territories,"Conditional sentence, community supervision",12499.5
2002/2003,Provinces and Territories,"Provincial parole, community supervision",1014
2002/2003,Provinces and Territories,"Probation rates per 100,000 adults",432.72
2002/2003,Newfoundland and Labrador,Total actual-in count,294
2002/2003,Newfoundland and Labrador,"Sentenced, actual-in count",232.4
2002/2003,Newfoundland and Labrador,"Remand, actual-in count",51
2002/2003,Newfoundland and Labrador,"Other statuses, actual-in count",10.6
2002/2003,Newfoundland and Labrador,On-register count,327
2002/2003,Newfoundland and Labrador,"Incarceration rates per 100,000 adults",71.7
2002/2003,Newfoundland and Labrador,Total community supervision count,2345
2002/2003,Newfoundland and Labrador,"Probation, community supervision",2235
2002/2003,Newfoundland and Labrador,"Conditional sentence, community supervision",110
2002/2003,Newfoundland and Labrador,"Probation rates per 100,000 adults",545.07
2002/2003,Prince Edward Island,Total actual-in count,79
2002/2003,Prince Edward Island,"Sentenced, actual-in count",56
2002/2003,Prince Edward Island,"Remand, actual-in count",18
2002/2003,Prince Edward Island,"Other statuses, actual-in count",5
2002/2003,Prince Edward Island,On-register count,79
2002/2003,Prince Edward Island,"Incarceration rates per 100,000 adults",75.53
2002/2003,Prince Edward Island,Total community supervision count,556
2002/2003,Prince Edward Island,"Probation, community supervision",546
2002/2003,Prince Edward Island,"Conditional sentence, community supervision",10
2002/2003,Prince Edward Island,"Probation rates per 100,000 adults",522.03
2002/2003,Nova Scotia,Total actual-in count,295.1
2002/2003,Nova Scotia,"Sentenced, actual-in count",163.6
2002/2003,Nova Scotia,"Remand, actual-in count",121.5
2002/2003,Nova Scotia,"Other statuses, actual-in count",10
2002/2003,Nova Scotia,On-register count,339.1
2002/2003,Nova Scotia,"Incarceration rates per 100,000 adults",40.19
2002/2003,Nova Scotia,Total community supervision count,
2002/2003,Nova Scotia,"Probation, community supervision",
2002/2003,Nova Scotia,"Conditional sentence, community supervision",
2002/2003,Nova Scotia,"Probation rates per 100,000 adults",
2002/2003,New Brunswick,Total actual-in count,298
2002/2003,New Brunswick,"Sentenced, actual-in count",204
2002/2003,New Brunswick,"Remand, actual-in count",94
2002/2003,New Brunswick,"Other statuses, actual-in count",
2002/2003,New Brunswick,On-register count,391
2002/2003,New Brunswick,"Incarceration rates per 100,000 adults",50.49
2002/2003,New Brunswick,Total community supervision count,
2002/2003,New Brunswick,"Probation, community supervision",
2002/2003,New Brunswick,"Conditional sentence, community supervision",
2002/2003,New Brunswick,"Probation rates per 100,000 adults",
2002/2003,Quebec,Total actual-in count,3716.7
2002/2003,Quebec,"Sentenced, actual-in count",2279.7
2002/2003,Quebec,"Remand, actual-in count",1437
2002/2003,Quebec,On-register count,4703.6
2002/2003,Quebec,"Incarceration rates per 100,000 adults",63.31
2002/2003,Quebec,Total community supervision count,12668.8
2002/2003,Quebec,"Probation, community supervision",8552.3
2002/2003,Quebec,"Conditional sentence, community supervision",3535.5
2002/2003,Quebec,"Provincial parole, community supervision",581
2002/2003,Quebec,"Probation rates per 100,000 adults",145.69
2002/2003,Ontario,Total actual-in count,8050
2002/2003,Ontario,"Sentenced, actual-in count",3438
2002/2003,Ontario,"Remand, actual-in count",4373
2002/2003,Ontario,"Other statuses, actual-in count",239
2002/2003,Ontario,On-register count,8615
2002/2003,Ontario,"Incarceration rates per 100,000 adults",86.67
2002/2003,Ontario,Total community supervision count,59486
2002/2003,Ontario,"Probation, community supervision",56030
2002/2003,Ontario,"Conditional sentence, community supervision",3246
2002/2003,Ontario,"Provincial parole, community supervision",210
2002/2003,Ontario,"Probation rates per 100,000 adults",603.23
2002/2003,Manitoba,Total actual-in count,1180.4
2002/2003,Manitoba,"Sentenced, actual-in count",560.4
2002/2003,Manitoba,"Remand, actual-in count",620
2002/2003,Manitoba,On-register count,1403
2002/2003,Manitoba,"Incarceration rates per 100,000 adults",135.68
2002/2003,Manitoba,Total community supervision count,7476
2002/2003,Manitoba,"Probation, community supervision",6577
2002/2003,Manitoba,"Conditional sentence, community supervision",899
2002/2003,Manitoba,"Probation rates per 100,000 adults",756
2002/2003,Saskatchewan,Total actual-in count,1213
2002/2003,Saskatchewan,"Sentenced, actual-in count",867
2002/2003,Saskatchewan,"Remand, actual-in count",346
2002/2003,Saskatchewan,On-register count,1292.3
2002/2003,Saskatchewan,"Incarceration rates per 100,000 adults",163.15
2002/2003,Saskatchewan,Total community supervision count,5341
2002/2003,Saskatchewan,"Probation, community supervision",4144
2002/2003,Saskatchewan,"Conditional sentence, community supervision",1197
2002/2003,Saskatchewan,"Probation rates per 100,000 adults",557.39
2002/2003,Alberta,Total actual-in count,2116
2002/2003,Alberta,"Sentenced, actual-in count",1322
2002/2003,Alberta,"Remand, actual-in count",794
2002/2003,Alberta,On-register count,2490
2002/2003,Alberta,"Incarceration rates per 100,000 adults",89.68
2002/2003,Alberta,Total community supervision count,9908
2002/2003,Alberta,"Probation, community supervision",8468
2002/2003,Alberta,"Conditional sentence, community supervision",1440
2002/2003,Alberta,"Probation rates per 100,000 adults",358.9
2002/2003,British Columbia,Total actual-in count,2064
2002/2003,British Columbia,"Sentenced, actual-in count",1210
2002/2003,British Columbia,"Remand, actual-in count",798
2002/2003,British Columbia,"Other statuses, actual-in count",56
2002/2003,British Columbia,On-register count,2068
2002/2003,British Columbia,"Incarceration rates per 100,000 adults",64.13
2002/2003,British Columbia,Total community supervision count,14398
2002/2003,British Columbia,"Probation, community supervision",12150
2002/2003,British Columbia,"Conditional sentence, community supervision",2025
2002/2003,British Columbia,"Provincial parole, community supervision",223
2002/2003,British Columbia,"Probation rates per 100,000 adults",377.5
2002/2003,Yukon,Total actual-in count,51.2
2002/2003,Yukon,"Sentenced, actual-in count",27
2002/2003,Yukon,"Remand, actual-in count",24.2
2002/2003,Yukon,"Other statuses, actual-in count",
2002/2003,Yukon,On-register count,57.8
2002/2003,Yukon,"Incarceration rates per 100,000 adults",223.97
2002/2003,Yukon,Total community supervision count,373.7
2002/2003,Yukon,"Probation, community supervision",336.8
2002/2003,Yukon,"Conditional sentence, community supervision",37
2002/2003,Yukon,"Probation rates per 100,000 adults",1473.1
2002/2003,Northwest Territories,Total actual-in count,222
2002/2003,Northwest Territories,"Sentenced, actual-in count",195
2002/2003,Northwest Territories,"Remand, actual-in count",27
2002/2003,Northwest Territories,"Other statuses, actual-in count",
2002/2003,Northwest Territories,On-register count,274
2002/2003,Northwest Territories,"Incarceration rates per 100,000 adults",767.32
2002/2003,Northwest Territories,Total community supervision count,
2002/2003,Northwest Territories,"Probation, community supervision",
2002/2003,Northwest Territories,"Conditional sentence, community supervision",
2002/2003,Northwest Territories,"Probation rates per 100,000 adults",
2002/2003,Nunavut,Total actual-in count,
2002/2003,Nunavut,"Sentenced, actual-in count",
2002/2003,Nunavut,"Remand, actual-in count",
2002/2003,Nunavut,"Other statuses, actual-in count",
2002/2003,Nunavut,On-register count,
2002/2003,Nunavut,"Incarceration rates per 100,000 adults",
2002/2003,Nunavut,Total community supervision count,
2002/2003,Nunavut,"Probation, community supervision",
2002/2003,Nunavut,"Conditional sentence, community supervision",
2002/2003,Nunavut,"Probation rates per 100,000 adults",
2003/2004,Provinces and Territories,Total actual-in count,19342.4
2003/2004,Provinces and Territories,"Sentenced, actual-in count",9851.1
2003/2004,Provinces and Territories,"Remand, actual-in count",9173.6
2003/2004,Provinces and Territories,"Other statuses, actual-in count",317.7
2003/2004,Provinces and Territories,On-register count,21675.2
2003/2004,Provinces and Territories,"Incarceration rates per 100,000 adults",78.67
2003/2004,Provinces and Territories,Total community supervision count,109222.7
2003/2004,Provinces and Territories,"Probation, community supervision",95350
2003/2004,Provinces and Territories,"Conditional sentence, community supervision",12987.6
2003/2004,Provinces and Territories,"Provincial parole, community supervision",885
2003/2004,Provinces and Territories,"Probation rates per 100,000 adults",410.59
2003/2004,Newfoundland and Labrador,Total actual-in count,269.9
2003/2004,Newfoundland and Labrador,"Sentenced, actual-in count",209.7
2003/2004,Newfoundland and Labrador,"Remand, actual-in count",49.6
2003/2004,Newfoundland and Labrador,"Other statuses, actual-in count",10.6
2003/2004,Newfoundland and Labrador,On-register count,299.2
2003/2004,Newfoundland and Labrador,"Incarceration rates per 100,000 adults",65.52
2003/2004,Newfoundland and Labrador,Total community supervision count,2218
2003/2004,Newfoundland and Labrador,"Probation, community supervision",2069
2003/2004,Newfoundland and Labrador,"Conditional sentence, community supervision",149
2003/2004,Newfoundland and Labrador,"Probation rates per 100,000 adults",502.27
2003/2004,Prince Edward Island,Total actual-in count,74.9
2003/2004,Prince Edward Island,"Sentenced, actual-in count",50.7
2003/2004,Prince Edward Island,"Remand, actual-in count",18.4
2003/2004,Prince Edward Island,"Other statuses, actual-in count",5.8
2003/2004,Prince Edward Island,On-register count,74.9
2003/2004,Prince Edward Island,"Incarceration rates per 100,000 adults",70.93
2003/2004,Prince Edward Island,Total community supervision count,739
2003/2004,Prince Edward Island,"Probation, community supervision",717
2003/2004,Prince Edward Island,"Conditional sentence, community supervision",22
2003/2004,Prince Edward Island,"Probation rates per 100,000 adults",679.02
2003/2004,Nova Scotia,Total actual-in count,296.5
2003/2004,Nova Scotia,"Sentenced, actual-in count",170.9
2003/2004,Nova Scotia,"Remand, actual-in count",115.4
2003/2004,Nova Scotia,"Other statuses, actual-in count",10.2
2003/2004,Nova Scotia,On-register count,338.5
2003/2004,Nova Scotia,"Incarceration rates per 100,000 adults",40.07
2003/2004,Nova Scotia,Total community supervision count,
2003/2004,Nova Scotia,"Probation, community supervision",
2003/2004,Nova Scotia,"Conditional sentence, community supervision",
2003/2004,Nova Scotia,"Probation rates per 100,000 adults",
2003/2004,New Brunswick,Total actual-in count,298.5
2003/2004,New Brunswick,"Sentenced, actual-in count",203.8
2003/2004,New Brunswick,"Remand, actual-in count",94.8
2003/2004,New Brunswick,"Other statuses, actual-in count",
2003/2004,New Brunswick,On-register count,380.5
2003/2004,New Brunswick,"Incarceration rates per 100,000 adults",50.34
2003/2004,New Brunswick,Total community supervision count,
2003/2004,New Brunswick,"Probation, community supervision",
2003/2004,New Brunswick,"Conditional sentence, community supervision",
2003/2004,New Brunswick,"Probation rates per 100,000 adults",
2003/2004,Quebec,Total actual-in count,3757.8
2003/2004,Quebec,"Sentenced, actual-in count",2282.8
2003/2004,Quebec,"Remand, actual-in count",1475
2003/2004,Quebec,On-register count,4629.5
2003/2004,Quebec,"Incarceration rates per 100,000 adults",63.42
2003/2004,Quebec,Total community supervision count,12884.1
2003/2004,Quebec,"Probation, community supervision",8839.3
2003/2004,Quebec,"Conditional sentence, community supervision",3494.8
2003/2004,Quebec,"Provincial parole, community supervision",550
2003/2004,Quebec,"Probation rates per 100,000 adults",149.18
2003/2004,Ontario,Total actual-in count,7681.3
2003/2004,Ontario,"Sentenced, actual-in count",2957
2003/2004,Ontario,"Remand, actual-in count",4490.3
2003/2004,Ontario,"Other statuses, actual-in count",234
2003/2004,Ontario,On-register count,8389.3
2003/2004,Ontario,"Incarceration rates per 100,000 adults",81.3
2003/2004,Ontario,Total community supervision count,57385
2003/2004,Ontario,"Probation, community supervision",53641
2003/2004,Ontario,"Conditional sentence, community supervision",3598
2003/2004,Ontario,"Provincial parole, community supervision",146
2003/2004,Ontario,"Probation rates per 100,000 adults",567.77
2003/2004,Manitoba,Total actual-in count,1230
2003/2004,Manitoba,"Sentenced, actual-in count",515
2003/2004,Manitoba,"Remand, actual-in count",715
2003/2004,Manitoba,On-register count,1403.7
2003/2004,Manitoba,"Incarceration rates per 100,000 adults",140
2003/2004,Manitoba,Total community supervision count,6870
2003/2004,Manitoba,"Probation, community supervision",6029
2003/2004,Manitoba,"Conditional sentence, community supervision",841
2003/2004,Manitoba,"Probation rates per 100,000 adults",686.22
2003/2004,Saskatchewan,Total actual-in count,1170
2003/2004,Saskatchewan,"Sentenced, actual-in count",826
2003/2004,Saskatchewan,"Remand, actual-in count",344
2003/2004,Saskatchewan,On-register count,1231.3
2003/2004,Saskatchewan,"Incarceration rates per 100,000 adults",156.5
2003/2004,Saskatchewan,Total community supervision count,5444
2003/2004,Saskatchewan,"Probation, community supervision",4181
2003/2004,Saskatchewan,"Conditional sentence, community supervision",1263
2003/2004,Saskatchewan,"Probation rates per 100,000 adults",559.25
2003/2004,Alberta,Total actual-in count,2161
2003/2004,Alberta,"Sentenced, actual-in count",1220
2003/2004,Alberta,"Remand, actual-in count",941
2003/2004,Alberta,On-register count,2495
2003/2004,Alberta,"Incarceration rates per 100,000 adults",89.56
2003/2004,Alberta,Total community supervision count,9438
2003/2004,Alberta,"Probation, community supervision",7949
2003/2004,Alberta,"Conditional sentence, community supervision",1489
2003/2004,Alberta,"Probation rates per 100,000 adults",329.45
2003/2004,British Columbia,Total actual-in count,2048.9
2003/2004,British Columbia,"Sentenced, actual-in count",1146
2003/2004,British Columbia,"Remand, actual-in count",846.6
2003/2004,British Columbia,"Other statuses, actual-in count",56.3
2003/2004,British Columbia,On-register count,2052.9
2003/2004,British Columbia,"Incarceration rates per 100,000 adults",62.99
2003/2004,British Columbia,Total community supervision count,13329
2003/2004,British Columbia,"Probation, community supervision",11137
2003/2004,British Columbia,"Conditional sentence, community supervision",2003
2003/2004,British Columbia,"Provincial parole, community supervision",189
2003/2004,British Columbia,"Probation rates per 100,000 adults",342.39
2003/2004,Yukon,Total actual-in count,51.8
2003/2004,Yukon,"Sentenced, actual-in count",25.2
2003/2004,Yukon,"Remand, actual-in count",26.6
2003/2004,Yukon,"Other statuses, actual-in count",
2003/2004,Yukon,On-register count,58.5
2003/2004,Yukon,"Incarceration rates per 100,000 adults",220.53
2003/2004,Yukon,Total community supervision count,321.2
2003/2004,Yukon,"Probation, community supervision",284.8
2003/2004,Yukon,"Conditional sentence, community supervision",36.3
2003/2004,Yukon,"Probation rates per 100,000 adults",1212.82
2003/2004,Northwest Territories,Total actual-in count,226.3
2003/2004,Northwest Territories,"Sentenced, actual-in count",194
2003/2004,Northwest Territories,"Remand, actual-in count",32.3
2003/2004,Northwest Territories,"Other statuses, actual-in count",
2003/2004,Northwest Territories,On-register count,243.3
2003/2004,Northwest Territories,"Incarceration rates per 100,000 adults",759.28
2003/2004,Northwest Territories,Total community supervision count,
2003/2004,Northwest Territories,"Probation, community supervision",
2003/2004,Northwest Territories,"Conditional sentence, community supervision",
2003/2004,Northwest Territories,"Probation rates per 100,000 adults",
2003/2004,Nunavut,Total actual-in count,75.5
2003/2004,Nunavut,"Sentenced, actual-in count",50.1
2003/2004,Nunavut,"Remand, actual-in count",24.6
2003/2004,Nunavut,"Other statuses, actual-in count",0.8
2003/2004,Nunavut,On-register count,78.6
2003/2004,Nunavut,"Incarceration rates per 100,000 adults",439.77
2003/2004,Nunavut,Total community supervision count,594.4
2003/2004,Nunavut,"Probation, community supervision",502.9
2003/2004,Nunavut,"Conditional sentence, community supervision",91.5
2003/2004,Nunavut,"Probation rates per 100,000 adults",2929.38
2004/2005,Provinces and Territories,Total actual-in count,19792.4
2004/2005,Provinces and Territories,"Sentenced, actual-in count",9691.5
2004/2005,Provinces and Territories,"Remand, actual-in count",9787
2004/2005,Provinces and Territories,"Other statuses, actual-in count",313.9
2004/2005,Provinces and Territories,On-register count,21901.4
2004/2005,Provinces and Territories,"Incarceration rates per 100,000 adults",79.43
2004/2005,Provinces and Territories,Total community supervision count,106944.6
2004/2005,Provinces and Territories,"Probation, community supervision",92922
2004/2005,Provinces and Territories,"Conditional sentence, community supervision",13212.7
2004/2005,Provinces and Territories,"Provincial parole, community supervision",809.9
2004/2005,Provinces and Territories,"Probation rates per 100,000 adults",394.65
2004/2005,Newfoundland and Labrador,Total actual-in count,280.4
2004/2005,Newfoundland and Labrador,"Sentenced, actual-in count",210.2
2004/2005,Newfoundland and Labrador,"Remand, actual-in count",56.1
2004/2005,Newfoundland and Labrador,"Other statuses, actual-in count",14.1
2004/2005,Newfoundland and Labrador,On-register count,313.1
2004/2005,Newfoundland and Labrador,"Incarceration rates per 100,000 adults",67.81
2004/2005,Newfoundland and Labrador,Total community supervision count,2086.8
2004/2005,Newfoundland and Labrador,"Probation, community supervision",1948.3
2004/2005,Newfoundland and Labrador,"Conditional sentence, community supervision",138.4
2004/2005,Newfoundland and Labrador,"Probation rates per 100,000 adults",471.24
2004/2005,Prince Edward Island,Total actual-in count,74.1
2004/2005,Prince Edward Island,"Sentenced, actual-in count",50.4
2004/2005,Prince Edward Island,"Remand, actual-in count",16.1
2004/2005,Prince Edward Island,"Other statuses, actual-in count",7.6
2004/2005,Prince Edward Island,On-register count,74.1
2004/2005,Prince Edward Island,"Incarceration rates per 100,000 adults",69.45
2004/2005,Prince Edward Island,Total community supervision count,697.3
2004/2005,Prince Edward Island,"Probation, community supervision",675.7
2004/2005,Prince Edward Island,"Conditional sentence, community supervision",21.6
2004/2005,Prince Edward Island,"Probation rates per 100,000 adults",633.39
2004/2005,Nova Scotia,Total actual-in count,309.6
2004/2005,Nova Scotia,"Sentenced, actual-in count",185.4
2004/2005,Nova Scotia,"Remand, actual-in count",112.5
2004/2005,Nova Scotia,"Other statuses, actual-in count",11.7
