REF_DATE,GEO,Custodial admissions,Indigenous identity,VALUE
2010/2011,Manitoba,Sentenced,Indigenous identity unknown,0
2010/2011,Manitoba,Remand,"Total, custodial admissions by Indigenous identity",11380
2010/2011,Manitoba,Remand,Indigenous identity,8018
2010/2011,Manitoba,Remand,Non-Indigenous identity,3362
2010/2011,Manitoba,Remand,Indigenous identity unknown,0
2010/2011,Manitoba,Other custodial statuses,"Total, custodial admissions by Indigenous identity",7315
2010/2011,Manitoba,Other custodial statuses,Indigenous identity,4616
2010/2011,Manitoba,Other custodial statuses,Non-Indigenous identity,2699
2010/2011,Manitoba,Other custodial statuses,Indigenous identity unknown,0
2010/2011,Saskatchewan,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",11102
2010/2011,Saskatchewan,"Total, custodial admissions",Indigenous identity,8428
2010/2011,Saskatchewan,"Total, custodial admissions",Non-Indigenous identity,2471
2010/2011,Saskatchewan,"Total, custodial admissions",Indigenous identity unknown,203
2010/2011,Saskatchewan,Sentenced,"Total, custodial admissions by Indigenous identity",4441
2010/2011,Saskatchewan,Sentenced,Indigenous identity,3456
2010/2011,Saskatchewan,Sentenced,Non-Indigenous identity,924
2010/2011,Saskatchewan,Sentenced,Indigenous identity unknown,61
2010/2011,Saskatchewan,Remand,"Total, custodial admissions by Indigenous identity",6505
2010/2011,Saskatchewan,Remand,Indigenous identity,4885
2010/2011,Saskatchewan,Remand,Non-Indigenous identity,1487
2010/2011,Saskatchewan,Remand,Indigenous identity unknown,133
2010/2011,Saskatchewan,Other custodial statuses,"Total, custodial admissions by Indigenous identity",156
2010/2011,Saskatchewan,Other custodial statuses,Indigenous identity,87
2010/2011,Saskatchewan,Other custodial statuses,Non-Indigenous identity,60
2010/2011,Saskatchewan,Other custodial statuses,Indigenous identity unknown,9
2010/2011,Alberta,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",39955
2010/2011,Alberta,"Total, custodial admissions",Indigenous identity,16219
2010/2011,Alberta,"Total, custodial admissions",Non-Indigenous identity,23736
2010/2011,Alberta,"Total, custodial admissions",Indigenous identity unknown,0
2010/2011,Alberta,Sentenced,"Total, custodial admissions by Indigenous identity",17728
2010/2011,Alberta,Sentenced,Indigenous identity,7559
2010/2011,Alberta,Sentenced,Non-Indigenous identity,10169
2010/2011,Alberta,Sentenced,Indigenous identity unknown,0
2010/2011,Alberta,Remand,"Total, custodial admissions by Indigenous identity",22227
2010/2011,Alberta,Remand,Indigenous identity,8660
2010/2011,Alberta,Remand,Non-Indigenous identity,13567
2010/2011,Alberta,Remand,Indigenous identity unknown,0
2010/2011,Alberta,Other custodial statuses,"Total, custodial admissions by Indigenous identity",0
2010/2011,Alberta,Other custodial statuses,Indigenous identity,0
2010/2011,Alberta,Other custodial statuses,Non-Indigenous identity,0
2010/2011,Alberta,Other custodial statuses,Indigenous identity unknown,0
2010/2011,British Columbia,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",23358
2010/2011,British Columbia,"Total, custodial admissions",Indigenous identity,6371
2010/2011,British Columbia,"Total, custodial admissions",Non-Indigenous identity,16513
2010/2011,British Columbia,"Total, custodial admissions",Indigenous identity unknown,474
2010/2011,British Columbia,Sentenced,"Total, custodial admissions by Indigenous identity",8678
2010/2011,British Columbia,Sentenced,Indigenous identity,2751
2010/2011,British Columbia,Sentenced,Non-Indigenous identity,5896
2010/2011,British Columbia,Sentenced,Indigenous identity unknown,31
2010/2011,British Columbia,Remand,"Total, custodial admissions by Indigenous identity",12806
2010/2011,British Columbia,Remand,Indigenous identity,3401
2010/2011,British Columbia,Remand,Non-Indigenous identity,9360
2010/2011,British Columbia,Remand,Indigenous identity unknown,45
2010/2011,British Columbia,Other custodial statuses,"Total, custodial admissions by Indigenous identity",1874
2010/2011,British Columbia,Other custodial statuses,Indigenous identity,219
2010/2011,British Columbia,Other custodial statuses,Non-Indigenous identity,1257
2010/2011,British Columbia,Other custodial statuses,Indigenous identity unknown,398
2010/2011,Yukon,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",614
2010/2011,Yukon,"Total, custodial admissions",Indigenous identity,454
2010/2011,Yukon,"Total, custodial admissions",Non-Indigenous identity,160
2010/2011,Yukon,"Total, custodial admissions",Indigenous identity unknown,0
2010/2011,Yukon,Sentenced,"Total, custodial admissions by Indigenous identity",245
2010/2011,Yukon,Sentenced,Indigenous identity,176
2010/2011,Yukon,Sentenced,Non-Indigenous identity,69
2010/2011,Yukon,Sentenced,Indigenous identity unknown,0
2010/2011,Yukon,Remand,"Total, custodial admissions by Indigenous identity",357
2010/2011,Yukon,Remand,Indigenous identity,271
2010/2011,Yukon,Remand,Non-Indigenous identity,86
2010/2011,Yukon,Remand,Indigenous identity unknown,0
2010/2011,Yukon,Other custodial statuses,"Total, custodial admissions by Indigenous identity",12
2010/2011,Yukon,Other custodial statuses,Indigenous identity,7
2010/2011,Yukon,Other custodial statuses,Non-Indigenous identity,5
2010/2011,Yukon,Other custodial statuses,Indigenous identity unknown,0
2010/2011,Northwest Territories,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",1337
2010/2011,Northwest Territories,"Total, custodial admissions",Indigenous identity,1214
2010/2011,Northwest Territories,"Total, custodial admissions",Non-Indigenous identity,121
2010/2011,Northwest Territories,"Total, custodial admissions",Indigenous identity unknown,2
2010/2011,Northwest Territories,Sentenced,"Total, custodial admissions by Indigenous identity",654
2010/2011,Northwest Territories,Sentenced,Indigenous identity,594
2010/2011,Northwest Territories,Sentenced,Non-Indigenous identity,59
2010/2011,Northwest Territories,Sentenced,Indigenous identity unknown,1
2010/2011,Northwest Territories,Remand,"Total, custodial admissions by Indigenous identity",683
2010/2011,Northwest Territories,Remand,Indigenous identity,620
2010/2011,Northwest Territories,Remand,Non-Indigenous identity,62
2010/2011,Northwest Territories,Remand,Indigenous identity unknown,1
2010/2011,Northwest Territories,Other custodial statuses,"Total, custodial admissions by Indigenous identity",
2010/2011,Northwest Territories,Other custodial statuses,Indigenous identity,
2010/2011,Northwest Territories,Other custodial statuses,Non-Indigenous identity,
2010/2011,Northwest Territories,Other custodial statuses,Indigenous identity unknown,
2010/2011,Nunavut,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",760
2010/2011,Nunavut,"Total, custodial admissions",Indigenous identity,734
2010/2011,Nunavut,"Total, custodial admissions",Non-Indigenous identity,0
2010/2011,Nunavut,"Total, custodial admissions",Indigenous identity unknown,26
2010/2011,Nunavut,Sentenced,"Total, custodial admissions by Indigenous identity",394
2010/2011,Nunavut,Sentenced,Indigenous identity,386
2010/2011,Nunavut,Sentenced,Non-Indigenous identity,0
2010/2011,Nunavut,Sentenced,Indigenous identity unknown,8
2010/2011,Nunavut,Remand,"Total, custodial admissions by Indigenous identity",366
2010/2011,Nunavut,Remand,Indigenous identity,348
2010/2011,Nunavut,Remand,Non-Indigenous identity,0
2010/2011,Nunavut,Remand,Indigenous identity unknown,18
2011/2012,All Provinces and territories,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",251629
2011/2012,All Provinces and territories,"Total, custodial admissions",Indigenous identity,66819
2011/2012,All Provinces and territories,"Total, custodial admissions",Non-Indigenous identity,184153
2011/2012,All Provinces and territories,"Total, custodial admissions",Indigenous identity unknown,657
2011/2012,All Provinces and territories,Sentenced,"Total, custodial admissions by Indigenous identity",85013
2011/2012,All Provinces and territories,Sentenced,Indigenous identity,24161
2011/2012,All Provinces and territories,Sentenced,Non-Indigenous identity,60638
2011/2012,All Provinces and territories,Sentenced,Indigenous identity unknown,214
2011/2012,All Provinces and territories,Remand,"Total, custodial admissions by Indigenous identity",148135
2011/2012,All Provinces and territories,Remand,Indigenous identity,37048
2011/2012,All Provinces and territories,Remand,Non-Indigenous identity,110691
2011/2012,All Provinces and territories,Remand,Indigenous identity unknown,396
2011/2012,All Provinces and territories,Other custodial statuses,"Total, custodial admissions by Indigenous identity",18481
2011/2012,All Provinces and territories,Other custodial statuses,Indigenous identity,5610
2011/2012,All Provinces and territories,Other custodial statuses,Non-Indigenous identity,12824
2011/2012,All Provinces and territories,Other custodial statuses,Indigenous identity unknown,47
2011/2012,Newfoundland and Labrador,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",1909
2011/2012,Newfoundland and Labrador,"Total, custodial admissions",Indigenous identity,363
2011/2012,Newfoundland and Labrador,"Total, custodial admissions",Non-Indigenous identity,1546
2011/2012,Newfoundland and Labrador,"Total, custodial admissions",Indigenous identity unknown,0
2011/2012,Newfoundland and Labrador,Sentenced,"Total, custodial admissions by Indigenous identity",1209
2011/2012,Newfoundland and Labrador,Sentenced,Indigenous identity,217
2011/2012,Newfoundland and Labrador,Sentenced,Non-Indigenous identity,992
2011/2012,Newfoundland and Labrador,Sentenced,Indigenous identity unknown,0
2011/2012,Newfoundland and Labrador,Remand,"Total, custodial admissions by Indigenous identity",592
2011/2012,Newfoundland and Labrador,Remand,Indigenous identity,138
2011/2012,Newfoundland and Labrador,Remand,Non-Indigenous identity,454
2011/2012,Newfoundland and Labrador,Remand,Indigenous identity unknown,0
2011/2012,Newfoundland and Labrador,Other custodial statuses,"Total, custodial admissions by Indigenous identity",108
2011/2012,Newfoundland and Labrador,Other custodial statuses,Indigenous identity,8
2011/2012,Newfoundland and Labrador,Other custodial statuses,Non-Indigenous identity,100
2011/2012,Newfoundland and Labrador,Other custodial statuses,Indigenous identity unknown,0
2011/2012,Prince Edward Island,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",860
2011/2012,Prince Edward Island,"Total, custodial admissions",Indigenous identity,15
2011/2012,Prince Edward Island,"Total, custodial admissions",Non-Indigenous identity,842
2011/2012,Prince Edward Island,"Total, custodial admissions",Indigenous identity unknown,3
2011/2012,Prince Edward Island,Sentenced,"Total, custodial admissions by Indigenous identity",682
2011/2012,Prince Edward Island,Sentenced,Indigenous identity,12
2011/2012,Prince Edward Island,Sentenced,Non-Indigenous identity,667
2011/2012,Prince Edward Island,Sentenced,Indigenous identity unknown,3
2011/2012,Prince Edward Island,Remand,"Total, custodial admissions by Indigenous identity",178
2011/2012,Prince Edward Island,Remand,Indigenous identity,3
2011/2012,Prince Edward Island,Remand,Non-Indigenous identity,175
2011/2012,Prince Edward Island,Remand,Indigenous identity unknown,0
2011/2012,Prince Edward Island,Other custodial statuses,"Total, custodial admissions by Indigenous identity",
2011/2012,Prince Edward Island,Other custodial statuses,Indigenous identity,
2011/2012,Prince Edward Island,Other custodial statuses,Non-Indigenous identity,
2011/2012,Prince Edward Island,Other custodial statuses,Indigenous identity unknown,
2011/2012,Nova Scotia,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",5747
2011/2012,Nova Scotia,"Total, custodial admissions",Indigenous identity,673
2011/2012,Nova Scotia,"Total, custodial admissions",Non-Indigenous identity,4883
2011/2012,Nova Scotia,"Total, custodial admissions",Indigenous identity unknown,191
2011/2012,Nova Scotia,Sentenced,"Total, custodial admissions by Indigenous identity",2261
2011/2012,Nova Scotia,Sentenced,Indigenous identity,234
2011/2012,Nova Scotia,Sentenced,Non-Indigenous identity,1962
2011/2012,Nova Scotia,Sentenced,Indigenous identity unknown,65
2011/2012,Nova Scotia,Remand,"Total, custodial admissions by Indigenous identity",3145
2011/2012,Nova Scotia,Remand,Indigenous identity,385
2011/2012,Nova Scotia,Remand,Non-Indigenous identity,2643
2011/2012,Nova Scotia,Remand,Indigenous identity unknown,117
2011/2012,Nova Scotia,Other custodial statuses,"Total, custodial admissions by Indigenous identity",341
2011/2012,Nova Scotia,Other custodial statuses,Indigenous identity,54
2011/2012,Nova Scotia,Other custodial statuses,Non-Indigenous identity,278
2011/2012,Nova Scotia,Other custodial statuses,Indigenous identity unknown,9
2011/2012,New Brunswick,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",5148
2011/2012,New Brunswick,"Total, custodial admissions",Indigenous identity,406
2011/2012,New Brunswick,"Total, custodial admissions",Non-Indigenous identity,4737
2011/2012,New Brunswick,"Total, custodial admissions",Indigenous identity unknown,5
2011/2012,New Brunswick,Sentenced,"Total, custodial admissions by Indigenous identity",2607
2011/2012,New Brunswick,Sentenced,Indigenous identity,197
2011/2012,New Brunswick,Sentenced,Non-Indigenous identity,2407
2011/2012,New Brunswick,Sentenced,Indigenous identity unknown,3
2011/2012,New Brunswick,Remand,"Total, custodial admissions by Indigenous identity",2097
2011/2012,New Brunswick,Remand,Indigenous identity,180
2011/2012,New Brunswick,Remand,Non-Indigenous identity,1915
2011/2012,New Brunswick,Remand,Indigenous identity unknown,2
2011/2012,New Brunswick,Other custodial statuses,"Total, custodial admissions by Indigenous identity",444
2011/2012,New Brunswick,Other custodial statuses,Indigenous identity,29
2011/2012,New Brunswick,Other custodial statuses,Non-Indigenous identity,415
2011/2012,New Brunswick,Other custodial statuses,Indigenous identity unknown,0
2011/2012,Quebec,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",41749
2011/2012,Quebec,"Total, custodial admissions",Indigenous identity,1904
2011/2012,Quebec,"Total, custodial admissions",Non-Indigenous identity,39845
2011/2012,Quebec,"Total, custodial admissions",Indigenous identity unknown,0
2011/2012,Quebec,Sentenced,"Total, custodial admissions by Indigenous identity",8082
2011/2012,Quebec,Sentenced,Indigenous identity,274
2011/2012,Quebec,Sentenced,Non-Indigenous identity,7808
2011/2012,Quebec,Sentenced,Indigenous identity unknown,0
2011/2012,Quebec,Remand,"Total, custodial admissions by Indigenous identity",30481
2011/2012,Quebec,Remand,Indigenous identity,1602
2011/2012,Quebec,Remand,Non-Indigenous identity,28879
2011/2012,Quebec,Remand,Indigenous identity unknown,0
2011/2012,Quebec,Other custodial statuses,"Total, custodial admissions by Indigenous identity",3186
2011/2012,Quebec,Other custodial statuses,Indigenous identity,28
2011/2012,Quebec,Other custodial statuses,Non-Indigenous identity,3158
2011/2012,Quebec,Other custodial statuses,Indigenous identity unknown,0
2011/2012,Ontario,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",93605
2011/2012,Ontario,"Total, custodial admissions",Indigenous identity,11186
2011/2012,Ontario,"Total, custodial admissions",Non-Indigenous identity,82419
2011/2012,Ontario,"Total, custodial admissions",Indigenous identity unknown,0
2011/2012,Ontario,Sentenced,"Total, custodial admissions by Indigenous identity",32065
2011/2012,Ontario,Sentenced,Indigenous identity,3727
2011/2012,Ontario,Sentenced,Non-Indigenous identity,28338
2011/2012,Ontario,Sentenced,Indigenous identity unknown,0
2011/2012,Ontario,Remand,"Total, custodial admissions by Indigenous identity",56302
2011/2012,Ontario,Remand,Indigenous identity,7131
2011/2012,Ontario,Remand,Non-Indigenous identity,49171
2011/2012,Ontario,Remand,Indigenous identity unknown,0
2011/2012,Ontario,Other custodial statuses,"Total, custodial admissions by Indigenous identity",5238
2011/2012,Ontario,Other custodial statuses,Indigenous identity,328
2011/2012,Ontario,Other custodial statuses,Non-Indigenous identity,4910
2011/2012,Ontario,Other custodial statuses,Indigenous identity unknown,0
2011/2012,Manitoba,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",25787
2011/2012,Manitoba,"Total, custodial admissions",Indigenous identity,18270
2011/2012,Manitoba,"Total, custodial admissions",Non-Indigenous identity,7517
2011/2012,Manitoba,"Total, custodial admissions",Indigenous identity unknown,0
2011/2012,Manitoba,Sentenced,"Total, custodial admissions by Indigenous identity",5846
2011/2012,Manitoba,Sentenced,Indigenous identity,4425
2011/2012,Manitoba,Sentenced,Non-Indigenous identity,1421
2011/2012,Manitoba,Sentenced,Indigenous identity unknown,0
2011/2012,Manitoba,Remand,"Total, custodial admissions by Indigenous identity",12423
2011/2012,Manitoba,Remand,Indigenous identity,8977
2011/2012,Manitoba,Remand,Non-Indigenous identity,3446
2011/2012,Manitoba,Remand,Indigenous identity unknown,0
2011/2012,Manitoba,Other custodial statuses,"Total, custodial admissions by Indigenous identity",7518
2011/2012,Manitoba,Other custodial statuses,Indigenous identity,4868
2011/2012,Manitoba,Other custodial statuses,Non-Indigenous identity,2650
2011/2012,Manitoba,Other custodial statuses,Indigenous identity unknown,0
2011/2012,Saskatchewan,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",10929
2011/2012,Saskatchewan,"Total, custodial admissions",Indigenous identity,8182
2011/2012,Saskatchewan,"Total, custodial admissions",Non-Indigenous identity,2425
2011/2012,Saskatchewan,"Total, custodial admissions",Indigenous identity unknown,322
2011/2012,Saskatchewan,Sentenced,"Total, custodial admissions by Indigenous identity",4372
2011/2012,Saskatchewan,Sentenced,Indigenous identity,3343
2011/2012,Saskatchewan,Sentenced,Non-Indigenous identity,930
2011/2012,Saskatchewan,Sentenced,Indigenous identity unknown,99
2011/2012,Saskatchewan,Remand,"Total, custodial admissions by Indigenous identity",6400
2011/2012,Saskatchewan,Remand,Indigenous identity,4765
2011/2012,Saskatchewan,Remand,Non-Indigenous identity,1420
2011/2012,Saskatchewan,Remand,Indigenous identity unknown,215
2011/2012,Saskatchewan,Other custodial statuses,"Total, custodial admissions by Indigenous identity",157
2011/2012,Saskatchewan,Other custodial statuses,Indigenous identity,74
2011/2012,Saskatchewan,Other custodial statuses,Non-Indigenous identity,75
2011/2012,Saskatchewan,Other custodial statuses,Indigenous identity unknown,8
2011/2012,Alberta,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",40125
2011/2012,Alberta,"Total, custodial admissions",Indigenous identity,16828
2011/2012,Alberta,"Total, custodial admissions",Non-Indigenous identity,23297
2011/2012,Alberta,"Total, custodial admissions",Indigenous identity unknown,0
2011/2012,Alberta,Sentenced,"Total, custodial admissions by Indigenous identity",17719
2011/2012,Alberta,Sentenced,Indigenous identity,7691
2011/2012,Alberta,Sentenced,Non-Indigenous identity,10028
2011/2012,Alberta,Sentenced,Indigenous identity unknown,0
2011/2012,Alberta,Remand,"Total, custodial admissions by Indigenous identity",22406
2011/2012,Alberta,Remand,Indigenous identity,9137
2011/2012,Alberta,Remand,Non-Indigenous identity,13269
2011/2012,Alberta,Remand,Indigenous identity unknown,0
2011/2012,Alberta,Other custodial statuses,"Total, custodial admissions by Indigenous identity",0
2011/2012,Alberta,Other custodial statuses,Indigenous identity,0
2011/2012,Alberta,Other custodial statuses,Non-Indigenous identity,0
2011/2012,Alberta,Other custodial statuses,Indigenous identity unknown,0
2011/2012,British Columbia,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",23130
2011/2012,British Columbia,"Total, custodial admissions",Indigenous identity,6696
2011/2012,British Columbia,"Total, custodial admissions",Non-Indigenous identity,16320
2011/2012,British Columbia,"Total, custodial admissions",Indigenous identity unknown,114
2011/2012,British Columbia,Sentenced,"Total, custodial admissions by Indigenous identity",8924
2011/2012,British Columbia,Sentenced,Indigenous identity,2922
2011/2012,British Columbia,Sentenced,Non-Indigenous identity,5967
2011/2012,British Columbia,Sentenced,Indigenous identity unknown,35
2011/2012,British Columbia,Remand,"Total, custodial admissions by Indigenous identity",12726
2011/2012,British Columbia,Remand,Indigenous identity,3558
2011/2012,British Columbia,Remand,Non-Indigenous identity,9119
2011/2012,British Columbia,Remand,Indigenous identity unknown,49
2011/2012,British Columbia,Other custodial statuses,"Total, custodial admissions by Indigenous identity",1480
2011/2012,British Columbia,Other custodial statuses,Indigenous identity,216
2011/2012,British Columbia,Other custodial statuses,Non-Indigenous identity,1234
2011/2012,British Columbia,Other custodial statuses,Indigenous identity unknown,30
2011/2012,Yukon,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",707
2011/2012,Yukon,"Total, custodial admissions",Indigenous identity,490
2011/2012,Yukon,"Total, custodial admissions",Non-Indigenous identity,217
2011/2012,Yukon,"Total, custodial admissions",Indigenous identity unknown,0
2011/2012,Yukon,Sentenced,"Total, custodial admissions by Indigenous identity",234
2011/2012,Yukon,Sentenced,Indigenous identity,166
2011/2012,Yukon,Sentenced,Non-Indigenous identity,68
2011/2012,Yukon,Sentenced,Indigenous identity unknown,0
2011/2012,Yukon,Remand,"Total, custodial admissions by Indigenous identity",464
2011/2012,Yukon,Remand,Indigenous identity,319
2011/2012,Yukon,Remand,Non-Indigenous identity,145
2011/2012,Yukon,Remand,Indigenous identity unknown,0
2011/2012,Yukon,Other custodial statuses,"Total, custodial admissions by Indigenous identity",9
2011/2012,Yukon,Other custodial statuses,Indigenous identity,5
2011/2012,Yukon,Other custodial statuses,Non-Indigenous identity,4
2011/2012,Yukon,Other custodial statuses,Indigenous identity unknown,0
2011/2012,Northwest Territories,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",1171
2011/2012,Northwest Territories,"Total, custodial admissions",Indigenous identity,1063
2011/2012,Northwest Territories,"Total, custodial admissions",Non-Indigenous identity,105
2011/2012,Northwest Territories,"Total, custodial admissions",Indigenous identity unknown,3
2011/2012,Northwest Territories,Sentenced,"Total, custodial admissions by Indigenous identity",595
2011/2012,Northwest Territories,Sentenced,Indigenous identity,543
2011/2012,Northwest Territories,Sentenced,Non-Indigenous identity,50
2011/2012,Northwest Territories,Sentenced,Indigenous identity unknown,2
2011/2012,Northwest Territories,Remand,"Total, custodial admissions by Indigenous identity",576
2011/2012,Northwest Territories,Remand,Indigenous identity,520
2011/2012,Northwest Territories,Remand,Non-Indigenous identity,55
2011/2012,Northwest Territories,Remand,Indigenous identity unknown,1
2011/2012,Northwest Territories,Other custodial statuses,"Total, custodial admissions by Indigenous identity",
2011/2012,Northwest Territories,Other custodial statuses,Indigenous identity,
2011/2012,Northwest Territories,Other custodial statuses,Non-Indigenous identity,
2011/2012,Northwest Territories,Other custodial statuses,Indigenous identity unknown,
2011/2012,Nunavut,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",762
2011/2012,Nunavut,"Total, custodial admissions",Indigenous identity,743
2011/2012,Nunavut,"Total, custodial admissions",Non-Indigenous identity,0
2011/2012,Nunavut,"Total, custodial admissions",Indigenous identity unknown,19
2011/2012,Nunavut,Sentenced,"Total, custodial admissions by Indigenous identity",417
2011/2012,Nunavut,Sentenced,Indigenous identity,410
2011/2012,Nunavut,Sentenced,Non-Indigenous identity,0
2011/2012,Nunavut,Sentenced,Indigenous identity unknown,7
2011/2012,Nunavut,Remand,"Total, custodial admissions by Indigenous identity",345
2011/2012,Nunavut,Remand,Indigenous identity,333
2011/2012,Nunavut,Remand,Non-Indigenous identity,0
2011/2012,Nunavut,Remand,Indigenous identity unknown,12
2012/2013,All Provinces and territories,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",208444
2012/2013,All Provinces and territories,"Total, custodial admissions",Indigenous identity,52011
2012/2013,All Provinces and territories,"Total, custodial admissions",Non-Indigenous identity,155812
2012/2013,All Provinces and territories,"Total, custodial admissions",Indigenous identity unknown,621
2012/2013,All Provinces and territories,Sentenced,"Total, custodial admissions by Indigenous identity",65922
2012/2013,All Provinces and territories,Sentenced,Indigenous identity,16826
2012/2013,All Provinces and territories,Sentenced,Non-Indigenous identity,48902
2012/2013,All Provinces and territories,Sentenced,Indigenous identity unknown,194
2012/2013,All Provinces and territories,Remand,"Total, custodial admissions by Indigenous identity",123736
2012/2013,All Provinces and territories,Remand,Indigenous identity,29080
2012/2013,All Provinces and territories,Remand,Non-Indigenous identity,94267
2012/2013,All Provinces and territories,Remand,Indigenous identity unknown,389
2012/2013,All Provinces and territories,Other custodial statuses,"Total, custodial admissions by Indigenous identity",18786
2012/2013,All Provinces and territories,Other custodial statuses,Indigenous identity,6105
2012/2013,All Provinces and territories,Other custodial statuses,Non-Indigenous identity,12643
2012/2013,All Provinces and territories,Other custodial statuses,Indigenous identity unknown,38
2012/2013,Newfoundland and Labrador,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",1896
2012/2013,Newfoundland and Labrador,"Total, custodial admissions",Indigenous identity,427
2012/2013,Newfoundland and Labrador,"Total, custodial admissions",Non-Indigenous identity,1469
2012/2013,Newfoundland and Labrador,"Total, custodial admissions",Indigenous identity unknown,0
2012/2013,Newfoundland and Labrador,Sentenced,"Total, custodial admissions by Indigenous identity",1110
2012/2013,Newfoundland and Labrador,Sentenced,Indigenous identity,255
2012/2013,Newfoundland and Labrador,Sentenced,Non-Indigenous identity,855
2012/2013,Newfoundland and Labrador,Sentenced,Indigenous identity unknown,0
2012/2013,Newfoundland and Labrador,Remand,"Total, custodial admissions by Indigenous identity",674
2012/2013,Newfoundland and Labrador,Remand,Indigenous identity,164
2012/2013,Newfoundland and Labrador,Remand,Non-Indigenous identity,510
2012/2013,Newfoundland and Labrador,Remand,Indigenous identity unknown,0
2012/2013,Newfoundland and Labrador,Other custodial statuses,"Total, custodial admissions by Indigenous identity",112
2012/2013,Newfoundland and Labrador,Other custodial statuses,Indigenous identity,8
2012/2013,Newfoundland and Labrador,Other custodial statuses,Non-Indigenous identity,104
2012/2013,Newfoundland and Labrador,Other custodial statuses,Indigenous identity unknown,0
2012/2013,Prince Edward Island,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",799
2012/2013,Prince Edward Island,"Total, custodial admissions",Indigenous identity,26
2012/2013,Prince Edward Island,"Total, custodial admissions",Non-Indigenous identity,770
2012/2013,Prince Edward Island,"Total, custodial admissions",Indigenous identity unknown,3
2012/2013,Prince Edward Island,Sentenced,"Total, custodial admissions by Indigenous identity",608
2012/2013,Prince Edward Island,Sentenced,Indigenous identity,13
2012/2013,Prince Edward Island,Sentenced,Non-Indigenous identity,593
2012/2013,Prince Edward Island,Sentenced,Indigenous identity unknown,2
2012/2013,Prince Edward Island,Remand,"Total, custodial admissions by Indigenous identity",189
2012/2013,Prince Edward Island,Remand,Indigenous identity,13
2012/2013,Prince Edward Island,Remand,Non-Indigenous identity,175
2012/2013,Prince Edward Island,Remand,Indigenous identity unknown,1
2012/2013,Prince Edward Island,Other custodial statuses,"Total, custodial admissions by Indigenous identity",2
2012/2013,Prince Edward Island,Other custodial statuses,Indigenous identity,0
2012/2013,Prince Edward Island,Other custodial statuses,Non-Indigenous identity,2
2012/2013,Prince Edward Island,Other custodial statuses,Indigenous identity unknown,0
2012/2013,Nova Scotia,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",5433
2012/2013,Nova Scotia,"Total, custodial admissions",Indigenous identity,637
2012/2013,Nova Scotia,"Total, custodial admissions",Non-Indigenous identity,4615
2012/2013,Nova Scotia,"Total, custodial admissions",Indigenous identity unknown,181
2012/2013,Nova Scotia,Sentenced,"Total, custodial admissions by Indigenous identity",2080
2012/2013,Nova Scotia,Sentenced,Indigenous identity,208
2012/2013,Nova Scotia,Sentenced,Non-Indigenous identity,1805
2012/2013,Nova Scotia,Sentenced,Indigenous identity unknown,67
2012/2013,Nova Scotia,Remand,"Total, custodial admissions by Indigenous identity",3055
2012/2013,Nova Scotia,Remand,Indigenous identity,398
2012/2013,Nova Scotia,Remand,Non-Indigenous identity,2549
2012/2013,Nova Scotia,Remand,Indigenous identity unknown,108
2012/2013,Nova Scotia,Other custodial statuses,"Total, custodial admissions by Indigenous identity",298
2012/2013,Nova Scotia,Other custodial statuses,Indigenous identity,31
2012/2013,Nova Scotia,Other custodial statuses,Non-Indigenous identity,261
2012/2013,Nova Scotia,Other custodial statuses,Indigenous identity unknown,6
2012/2013,New Brunswick,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",5220
2012/2013,New Brunswick,"Total, custodial admissions",Indigenous identity,447
2012/2013,New Brunswick,"Total, custodial admissions",Non-Indigenous identity,4769
2012/2013,New Brunswick,"Total, custodial admissions",Indigenous identity unknown,4
2012/2013,New Brunswick,Sentenced,"Total, custodial admissions by Indigenous identity",2590
2012/2013,New Brunswick,Sentenced,Indigenous identity,207
2012/2013,New Brunswick,Sentenced,Non-Indigenous identity,2379
2012/2013,New Brunswick,Sentenced,Indigenous identity unknown,4
2012/2013,New Brunswick,Remand,"Total, custodial admissions by Indigenous identity",2240
2012/2013,New Brunswick,Remand,Indigenous identity,208
2012/2013,New Brunswick,Remand,Non-Indigenous identity,2032
