REF_DATE,GEO,Sex,Sentence length ordered,VALUE
2009/2010,Quebec,Female,Greater than 1 month to 3 months,109
2009/2010,Quebec,Female,Greater than 3 months to 6 months,53
2009/2010,Quebec,Female,Greater than 6 months to 12 months,31
2009/2010,Quebec,Female,Greater than 12 to less than 24 months,13
2009/2010,Quebec,Female,24 months or more,10
2009/2010,Quebec,Female,Unknown sentence length ordered,97
2009/2010,Quebec,Female,Median sentence length ordered,29
2009/2010,Quebec,Sex unknown,"Total, sentence length ordered",0
2009/2010,Quebec,Sex unknown,1 month or less,0
2009/2010,Quebec,Sex unknown,Greater than 1 month to 3 months,0
2009/2010,Quebec,Sex unknown,Greater than 3 months to 6 months,0
2009/2010,Quebec,Sex unknown,Greater than 6 months to 12 months,0
2009/2010,Quebec,Sex unknown,Greater than 12 to less than 24 months,0
2009/2010,Quebec,Sex unknown,24 months or more,0
2009/2010,Quebec,Sex unknown,Unknown sentence length ordered,0
2009/2010,Ontario,"Total, custodial admission by sex","Total, sentence length ordered",31451
2009/2010,Ontario,"Total, custodial admission by sex",1 month or less,17741
2009/2010,Ontario,"Total, custodial admission by sex",Greater than 1 month to 3 months,7352
2009/2010,Ontario,"Total, custodial admission by sex",Greater than 3 months to 6 months,2460
2009/2010,Ontario,"Total, custodial admission by sex",Greater than 6 months to 12 months,1179
2009/2010,Ontario,"Total, custodial admission by sex",Greater than 12 to less than 24 months,449
2009/2010,Ontario,"Total, custodial admission by sex",24 months or more,30
2009/2010,Ontario,"Total, custodial admission by sex",Unknown sentence length ordered,2240
2009/2010,Ontario,"Total, custodial admission by sex",Median sentence length ordered,20
2009/2010,Ontario,Male,"Total, sentence length ordered",28435
2009/2010,Ontario,Male,1 month or less,15576
2009/2010,Ontario,Male,Greater than 1 month to 3 months,6864
2009/2010,Ontario,Male,Greater than 3 months to 6 months,2292
2009/2010,Ontario,Male,Greater than 6 months to 12 months,1115
2009/2010,Ontario,Male,Greater than 12 to less than 24 months,429
2009/2010,Ontario,Male,24 months or more,28
2009/2010,Ontario,Male,Unknown sentence length ordered,2131
2009/2010,Ontario,Male,Median sentence length ordered,
2009/2010,Ontario,Female,"Total, sentence length ordered",3016
2009/2010,Ontario,Female,1 month or less,2165
2009/2010,Ontario,Female,Greater than 1 month to 3 months,488
2009/2010,Ontario,Female,Greater than 3 months to 6 months,168
2009/2010,Ontario,Female,Greater than 6 months to 12 months,64
2009/2010,Ontario,Female,Greater than 12 to less than 24 months,20
2009/2010,Ontario,Female,24 months or more,2
2009/2010,Ontario,Female,Unknown sentence length ordered,109
2009/2010,Ontario,Female,Median sentence length ordered,
2009/2010,Ontario,Sex unknown,"Total, sentence length ordered",0
2009/2010,Ontario,Sex unknown,1 month or less,0
2009/2010,Ontario,Sex unknown,Greater than 1 month to 3 months,0
2009/2010,Ontario,Sex unknown,Greater than 3 months to 6 months,0
2009/2010,Ontario,Sex unknown,Greater than 6 months to 12 months,0
2009/2010,Ontario,Sex unknown,Greater than 12 to less than 24 months,0
2009/2010,Ontario,Sex unknown,24 months or more,0
2009/2010,Ontario,Sex unknown,Unknown sentence length ordered,0
2009/2010,Manitoba,"Total, custodial admission by sex","Total, sentence length ordered",4537
2009/2010,Manitoba,"Total, custodial admission by sex",1 month or less,1389
2009/2010,Manitoba,"Total, custodial admission by sex",Greater than 1 month to 3 months,984
2009/2010,Manitoba,"Total, custodial admission by sex",Greater than 3 months to 6 months,653
2009/2010,Manitoba,"Total, custodial admission by sex",Greater than 6 months to 12 months,493
2009/2010,Manitoba,"Total, custodial admission by sex",Greater than 12 to less than 24 months,319
2009/2010,Manitoba,"Total, custodial admission by sex",24 months or more,328
2009/2010,Manitoba,"Total, custodial admission by sex",Unknown sentence length ordered,371
2009/2010,Manitoba,"Total, custodial admission by sex",Median sentence length ordered,89
2009/2010,Manitoba,Male,"Total, sentence length ordered",4131
2009/2010,Manitoba,Male,1 month or less,1259
2009/2010,Manitoba,Male,Greater than 1 month to 3 months,876
2009/2010,Manitoba,Male,Greater than 3 months to 6 months,601
2009/2010,Manitoba,Male,Greater than 6 months to 12 months,454
2009/2010,Manitoba,Male,Greater than 12 to less than 24 months,301
2009/2010,Manitoba,Male,24 months or more,307
2009/2010,Manitoba,Male,Unknown sentence length ordered,333
2009/2010,Manitoba,Male,Median sentence length ordered,90
2009/2010,Manitoba,Female,"Total, sentence length ordered",405
2009/2010,Manitoba,Female,1 month or less,129
2009/2010,Manitoba,Female,Greater than 1 month to 3 months,108
2009/2010,Manitoba,Female,Greater than 3 months to 6 months,52
2009/2010,Manitoba,Female,Greater than 6 months to 12 months,39
2009/2010,Manitoba,Female,Greater than 12 to less than 24 months,18
2009/2010,Manitoba,Female,24 months or more,21
2009/2010,Manitoba,Female,Unknown sentence length ordered,38
2009/2010,Manitoba,Female,Median sentence length ordered,60
2009/2010,Manitoba,Sex unknown,"Total, sentence length ordered",1
2009/2010,Manitoba,Sex unknown,1 month or less,1
2009/2010,Manitoba,Sex unknown,Greater than 1 month to 3 months,0
2009/2010,Manitoba,Sex unknown,Greater than 3 months to 6 months,0
2009/2010,Manitoba,Sex unknown,Greater than 6 months to 12 months,0
2009/2010,Manitoba,Sex unknown,Greater than 12 to less than 24 months,0
2009/2010,Manitoba,Sex unknown,24 months or more,0
2009/2010,Manitoba,Sex unknown,Unknown sentence length ordered,0
2009/2010,Manitoba,Sex unknown,Median sentence length ordered,14
2009/2010,Saskatchewan,"Total, custodial admission by sex","Total, sentence length ordered",3964
2009/2010,Saskatchewan,"Total, custodial admission by sex",1 month or less,816
2009/2010,Saskatchewan,"Total, custodial admission by sex",Greater than 1 month to 3 months,1155
2009/2010,Saskatchewan,"Total, custodial admission by sex",Greater than 3 months to 6 months,739
2009/2010,Saskatchewan,"Total, custodial admission by sex",Greater than 6 months to 12 months,541
2009/2010,Saskatchewan,"Total, custodial admission by sex",Greater than 12 to less than 24 months,341
2009/2010,Saskatchewan,"Total, custodial admission by sex",24 months or more,370
2009/2010,Saskatchewan,"Total, custodial admission by sex",Unknown sentence length ordered,2
2009/2010,Saskatchewan,"Total, custodial admission by sex",Median sentence length ordered,91
2009/2010,Saskatchewan,Male,"Total, sentence length ordered",3449
2009/2010,Saskatchewan,Male,1 month or less,688
2009/2010,Saskatchewan,Male,Greater than 1 month to 3 months,961
2009/2010,Saskatchewan,Male,Greater than 3 months to 6 months,643
2009/2010,Saskatchewan,Male,Greater than 6 months to 12 months,487
2009/2010,Saskatchewan,Male,Greater than 12 to less than 24 months,317
2009/2010,Saskatchewan,Male,24 months or more,351
2009/2010,Saskatchewan,Male,Unknown sentence length ordered,2
2009/2010,Saskatchewan,Male,Median sentence length ordered,
2009/2010,Saskatchewan,Female,"Total, sentence length ordered",513
2009/2010,Saskatchewan,Female,1 month or less,128
2009/2010,Saskatchewan,Female,Greater than 1 month to 3 months,192
2009/2010,Saskatchewan,Female,Greater than 3 months to 6 months,96
2009/2010,Saskatchewan,Female,Greater than 6 months to 12 months,54
2009/2010,Saskatchewan,Female,Greater than 12 to less than 24 months,24
2009/2010,Saskatchewan,Female,24 months or more,19
2009/2010,Saskatchewan,Female,Unknown sentence length ordered,0
2009/2010,Saskatchewan,Female,Median sentence length ordered,
2009/2010,Saskatchewan,Sex unknown,"Total, sentence length ordered",2
2009/2010,Saskatchewan,Sex unknown,1 month or less,0
2009/2010,Saskatchewan,Sex unknown,Greater than 1 month to 3 months,2
2009/2010,Saskatchewan,Sex unknown,Greater than 3 months to 6 months,0
2009/2010,Saskatchewan,Sex unknown,Greater than 6 months to 12 months,0
2009/2010,Saskatchewan,Sex unknown,Greater than 12 to less than 24 months,0
2009/2010,Saskatchewan,Sex unknown,24 months or more,0
2009/2010,Saskatchewan,Sex unknown,Unknown sentence length ordered,0
2009/2010,Alberta,"Total, custodial admission by sex","Total, sentence length ordered",18740
2009/2010,Alberta,"Total, custodial admission by sex",Unknown sentence length ordered,18740
2009/2010,Alberta,Male,"Total, sentence length ordered",16165
2009/2010,Alberta,Male,Unknown sentence length ordered,16165
2009/2010,Alberta,Female,"Total, sentence length ordered",2575
2009/2010,Alberta,Female,Unknown sentence length ordered,2575
2009/2010,Alberta,Sex unknown,"Total, sentence length ordered",0
2009/2010,Alberta,Sex unknown,1 month or less,0
2009/2010,Alberta,Sex unknown,Greater than 1 month to 3 months,0
2009/2010,Alberta,Sex unknown,Greater than 3 months to 6 months,0
2009/2010,Alberta,Sex unknown,Greater than 6 months to 12 months,0
2009/2010,Alberta,Sex unknown,Greater than 12 to less than 24 months,0
2009/2010,Alberta,Sex unknown,24 months or more,0
2009/2010,Alberta,Sex unknown,Unknown sentence length ordered,0
2009/2010,British Columbia,"Total, custodial admission by sex","Total, sentence length ordered",8643
2009/2010,British Columbia,"Total, custodial admission by sex",1 month or less,4424
2009/2010,British Columbia,"Total, custodial admission by sex",Greater than 1 month to 3 months,1672
2009/2010,British Columbia,"Total, custodial admission by sex",Greater than 3 months to 6 months,1042
2009/2010,British Columbia,"Total, custodial admission by sex",Greater than 6 months to 12 months,630
2009/2010,British Columbia,"Total, custodial admission by sex",Greater than 12 to less than 24 months,347
2009/2010,British Columbia,"Total, custodial admission by sex",24 months or more,322
2009/2010,British Columbia,"Total, custodial admission by sex",Unknown sentence length ordered,206
2009/2010,British Columbia,"Total, custodial admission by sex",Median sentence length ordered,30
2009/2010,British Columbia,Male,"Total, sentence length ordered",7564
2009/2010,British Columbia,Male,1 month or less,3766
2009/2010,British Columbia,Male,Greater than 1 month to 3 months,1448
2009/2010,British Columbia,Male,Greater than 3 months to 6 months,938
2009/2010,British Columbia,Male,Greater than 6 months to 12 months,578
2009/2010,British Columbia,Male,Greater than 12 to less than 24 months,328
2009/2010,British Columbia,Male,24 months or more,306
2009/2010,British Columbia,Male,Unknown sentence length ordered,200
2009/2010,British Columbia,Male,Median sentence length ordered,
2009/2010,British Columbia,Female,"Total, sentence length ordered",1079
2009/2010,British Columbia,Female,1 month or less,658
2009/2010,British Columbia,Female,Greater than 1 month to 3 months,224
2009/2010,British Columbia,Female,Greater than 3 months to 6 months,104
2009/2010,British Columbia,Female,Greater than 6 months to 12 months,52
2009/2010,British Columbia,Female,Greater than 12 to less than 24 months,19
2009/2010,British Columbia,Female,24 months or more,16
2009/2010,British Columbia,Female,Unknown sentence length ordered,6
2009/2010,British Columbia,Female,Median sentence length ordered,
2009/2010,British Columbia,Sex unknown,"Total, sentence length ordered",0
2009/2010,British Columbia,Sex unknown,1 month or less,0
2009/2010,British Columbia,Sex unknown,Greater than 1 month to 3 months,0
2009/2010,British Columbia,Sex unknown,Greater than 3 months to 6 months,0
2009/2010,British Columbia,Sex unknown,Greater than 6 months to 12 months,0
2009/2010,British Columbia,Sex unknown,Greater than 12 to less than 24 months,0
2009/2010,British Columbia,Sex unknown,24 months or more,0
2009/2010,British Columbia,Sex unknown,Unknown sentence length ordered,0
2009/2010,British Columbia,Sex unknown,Median sentence length ordered,
2009/2010,Yukon,"Total, custodial admission by sex","Total, sentence length ordered",253
2009/2010,Yukon,"Total, custodial admission by sex",1 month or less,104
2009/2010,Yukon,"Total, custodial admission by sex",Greater than 1 month to 3 months,86
2009/2010,Yukon,"Total, custodial admission by sex",Greater than 3 months to 6 months,38
2009/2010,Yukon,"Total, custodial admission by sex",Greater than 6 months to 12 months,21
2009/2010,Yukon,"Total, custodial admission by sex",Greater than 12 to less than 24 months,4
2009/2010,Yukon,"Total, custodial admission by sex",24 months or more,0
2009/2010,Yukon,"Total, custodial admission by sex",Unknown sentence length ordered,0
2009/2010,Yukon,"Total, custodial admission by sex",Median sentence length ordered,45
2009/2010,Yukon,Male,"Total, sentence length ordered",213
2009/2010,Yukon,Male,1 month or less,87
2009/2010,Yukon,Male,Greater than 1 month to 3 months,74
2009/2010,Yukon,Male,Greater than 3 months to 6 months,31
2009/2010,Yukon,Male,Greater than 6 months to 12 months,17
2009/2010,Yukon,Male,Greater than 12 to less than 24 months,4
2009/2010,Yukon,Male,24 months or more,0
2009/2010,Yukon,Male,Unknown sentence length ordered,0
2009/2010,Yukon,Male,Median sentence length ordered,45
2009/2010,Yukon,Female,"Total, sentence length ordered",40
2009/2010,Yukon,Female,1 month or less,17
2009/2010,Yukon,Female,Greater than 1 month to 3 months,12
2009/2010,Yukon,Female,Greater than 3 months to 6 months,7
2009/2010,Yukon,Female,Greater than 6 months to 12 months,4
2009/2010,Yukon,Female,Greater than 12 to less than 24 months,0
2009/2010,Yukon,Female,24 months or more,0
2009/2010,Yukon,Female,Unknown sentence length ordered,0
2009/2010,Yukon,Female,Median sentence length ordered,42
2009/2010,Yukon,Sex unknown,"Total, sentence length ordered",0
2009/2010,Yukon,Sex unknown,1 month or less,0
2009/2010,Yukon,Sex unknown,Greater than 1 month to 3 months,0
2009/2010,Yukon,Sex unknown,Greater than 3 months to 6 months,0
2009/2010,Yukon,Sex unknown,Greater than 6 months to 12 months,0
2009/2010,Yukon,Sex unknown,Greater than 12 to less than 24 months,0
2009/2010,Yukon,Sex unknown,24 months or more,0
2009/2010,Yukon,Sex unknown,Unknown sentence length ordered,0
2009/2010,Northwest Territories,"Total, custodial admission by sex","Total, sentence length ordered",621
2009/2010,Northwest Territories,"Total, custodial admission by sex",1 month or less,132
2009/2010,Northwest Territories,"Total, custodial admission by sex",Greater than 1 month to 3 months,190
2009/2010,Northwest Territories,"Total, custodial admission by sex",Greater than 3 months to 6 months,124
2009/2010,Northwest Territories,"Total, custodial admission by sex",Greater than 6 months to 12 months,93
2009/2010,Northwest Territories,"Total, custodial admission by sex",Greater than 12 to less than 24 months,45
2009/2010,Northwest Territories,"Total, custodial admission by sex",24 months or more,33
2009/2010,Northwest Territories,"Total, custodial admission by sex",Unknown sentence length ordered,4
2009/2010,Northwest Territories,"Total, custodial admission by sex",Median sentence length ordered,120
2009/2010,Northwest Territories,Male,"Total, sentence length ordered",574
2009/2010,Northwest Territories,Male,1 month or less,120
2009/2010,Northwest Territories,Male,Greater than 1 month to 3 months,170
2009/2010,Northwest Territories,Male,Greater than 3 months to 6 months,117
2009/2010,Northwest Territories,Male,Greater than 6 months to 12 months,87
2009/2010,Northwest Territories,Male,Greater than 12 to less than 24 months,45
2009/2010,Northwest Territories,Male,24 months or more,32
2009/2010,Northwest Territories,Male,Unknown sentence length ordered,3
2009/2010,Northwest Territories,Male,Median sentence length ordered,120
2009/2010,Northwest Territories,Female,"Total, sentence length ordered",47
2009/2010,Northwest Territories,Female,1 month or less,12
2009/2010,Northwest Territories,Female,Greater than 1 month to 3 months,20
2009/2010,Northwest Territories,Female,Greater than 3 months to 6 months,7
2009/2010,Northwest Territories,Female,Greater than 6 months to 12 months,6
2009/2010,Northwest Territories,Female,Greater than 12 to less than 24 months,0
2009/2010,Northwest Territories,Female,24 months or more,1
2009/2010,Northwest Territories,Female,Unknown sentence length ordered,1
2009/2010,Northwest Territories,Female,Median sentence length ordered,64
2009/2010,Northwest Territories,Sex unknown,"Total, sentence length ordered",0
2009/2010,Northwest Territories,Sex unknown,1 month or less,0
2009/2010,Northwest Territories,Sex unknown,Greater than 1 month to 3 months,0
2009/2010,Northwest Territories,Sex unknown,Greater than 3 months to 6 months,0
2009/2010,Northwest Territories,Sex unknown,Greater than 6 months to 12 months,0
2009/2010,Northwest Territories,Sex unknown,Greater than 12 to less than 24 months,0
2009/2010,Northwest Territories,Sex unknown,24 months or more,0
2009/2010,Northwest Territories,Sex unknown,Unknown sentence length ordered,0
2009/2010,Nunavut,"Total, custodial admission by sex","Total, sentence length ordered",413
2009/2010,Nunavut,"Total, custodial admission by sex",1 month or less,56
2009/2010,Nunavut,"Total, custodial admission by sex",Greater than 1 month to 3 months,94
2009/2010,Nunavut,"Total, custodial admission by sex",Greater than 3 months to 6 months,123
2009/2010,Nunavut,"Total, custodial admission by sex",Greater than 6 months to 12 months,62
2009/2010,Nunavut,"Total, custodial admission by sex",Greater than 12 to less than 24 months,44
2009/2010,Nunavut,"Total, custodial admission by sex",24 months or more,32
2009/2010,Nunavut,"Total, custodial admission by sex",Unknown sentence length ordered,2
2009/2010,Nunavut,"Total, custodial admission by sex",Median sentence length ordered,121
2009/2010,Nunavut,Male,"Total, sentence length ordered",399
2009/2010,Nunavut,Male,1 month or less,50
2009/2010,Nunavut,Male,Greater than 1 month to 3 months,88
2009/2010,Nunavut,Male,Greater than 3 months to 6 months,123
2009/2010,Nunavut,Male,Greater than 6 months to 12 months,60
2009/2010,Nunavut,Male,Greater than 12 to less than 24 months,44
2009/2010,Nunavut,Male,24 months or more,32
2009/2010,Nunavut,Male,Unknown sentence length ordered,2
2009/2010,Nunavut,Male,Median sentence length ordered,122
2009/2010,Nunavut,Female,"Total, sentence length ordered",14
2009/2010,Nunavut,Female,1 month or less,6
2009/2010,Nunavut,Female,Greater than 1 month to 3 months,6
2009/2010,Nunavut,Female,Greater than 3 months to 6 months,0
2009/2010,Nunavut,Female,Greater than 6 months to 12 months,2
2009/2010,Nunavut,Female,Greater than 12 to less than 24 months,0
2009/2010,Nunavut,Female,24 months or more,0
2009/2010,Nunavut,Female,Unknown sentence length ordered,0
2009/2010,Nunavut,Female,Median sentence length ordered,32
2009/2010,Nunavut,Sex unknown,"Total, sentence length ordered",0
2009/2010,Nunavut,Sex unknown,1 month or less,0
2009/2010,Nunavut,Sex unknown,Greater than 1 month to 3 months,0
2009/2010,Nunavut,Sex unknown,Greater than 3 months to 6 months,0
2009/2010,Nunavut,Sex unknown,Greater than 6 months to 12 months,0
2009/2010,Nunavut,Sex unknown,Greater than 12 to less than 24 months,0
2009/2010,Nunavut,Sex unknown,24 months or more,0
2009/2010,Nunavut,Sex unknown,Unknown sentence length ordered,0
2010/2011,All Provinces and territories,"Total, custodial admission by sex","Total, sentence length ordered",83976
2010/2011,All Provinces and territories,"Total, custodial admission by sex",1 month or less,29565
2010/2011,All Provinces and territories,"Total, custodial admission by sex",Greater than 1 month to 3 months,16470
2010/2011,All Provinces and territories,"Total, custodial admission by sex",Greater than 3 months to 6 months,7440
2010/2011,All Provinces and territories,"Total, custodial admission by sex",Greater than 6 months to 12 months,4242
2010/2011,All Provinces and territories,"Total, custodial admission by sex",Greater than 12 to less than 24 months,2133
2010/2011,All Provinces and territories,"Total, custodial admission by sex",24 months or more,1476
2010/2011,All Provinces and territories,"Total, custodial admission by sex",Unknown sentence length ordered,22650
2010/2011,All Provinces and territories,Male,"Total, sentence length ordered",74781
2010/2011,All Provinces and territories,Male,1 month or less,25846
2010/2011,All Provinces and territories,Male,Greater than 1 month to 3 months,15034
2010/2011,All Provinces and territories,Male,Greater than 3 months to 6 months,6822
2010/2011,All Provinces and territories,Male,Greater than 6 months to 12 months,3991
2010/2011,All Provinces and territories,Male,Greater than 12 to less than 24 months,1986
2010/2011,All Provinces and territories,Male,24 months or more,1405
2010/2011,All Provinces and territories,Male,Unknown sentence length ordered,19697
2010/2011,All Provinces and territories,Female,"Total, sentence length ordered",9134
2010/2011,All Provinces and territories,Female,1 month or less,3696
2010/2011,All Provinces and territories,Female,Greater than 1 month to 3 months,1418
2010/2011,All Provinces and territories,Female,Greater than 3 months to 6 months,612
2010/2011,All Provinces and territories,Female,Greater than 6 months to 12 months,245
2010/2011,All Provinces and territories,Female,Greater than 12 to less than 24 months,142
2010/2011,All Provinces and territories,Female,24 months or more,71
2010/2011,All Provinces and territories,Female,Unknown sentence length ordered,2950
2010/2011,All Provinces and territories,Sex unknown,"Total, sentence length ordered",61
2010/2011,All Provinces and territories,Sex unknown,1 month or less,23
2010/2011,All Provinces and territories,Sex unknown,Greater than 1 month to 3 months,18
2010/2011,All Provinces and territories,Sex unknown,Greater than 3 months to 6 months,6
2010/2011,All Provinces and territories,Sex unknown,Greater than 6 months to 12 months,6
2010/2011,All Provinces and territories,Sex unknown,Greater than 12 to less than 24 months,5
2010/2011,All Provinces and territories,Sex unknown,24 months or more,0
2010/2011,All Provinces and territories,Sex unknown,Unknown sentence length ordered,3
2010/2011,Newfoundland and Labrador,"Total, custodial admission by sex","Total, sentence length ordered",1253
2010/2011,Newfoundland and Labrador,"Total, custodial admission by sex",1 month or less,376
2010/2011,Newfoundland and Labrador,"Total, custodial admission by sex",Greater than 1 month to 3 months,442
2010/2011,Newfoundland and Labrador,"Total, custodial admission by sex",Greater than 3 months to 6 months,306
2010/2011,Newfoundland and Labrador,"Total, custodial admission by sex",Greater than 6 months to 12 months,110
2010/2011,Newfoundland and Labrador,"Total, custodial admission by sex",Greater than 12 to less than 24 months,19
2010/2011,Newfoundland and Labrador,"Total, custodial admission by sex",24 months or more,0
2010/2011,Newfoundland and Labrador,"Total, custodial admission by sex",Unknown sentence length ordered,0
2010/2011,Newfoundland and Labrador,"Total, custodial admission by sex",Median sentence length ordered,60
2010/2011,Newfoundland and Labrador,Male,"Total, sentence length ordered",1147
2010/2011,Newfoundland and Labrador,Male,1 month or less,330
2010/2011,Newfoundland and Labrador,Male,Greater than 1 month to 3 months,408
2010/2011,Newfoundland and Labrador,Male,Greater than 3 months to 6 months,285
2010/2011,Newfoundland and Labrador,Male,Greater than 6 months to 12 months,105
2010/2011,Newfoundland and Labrador,Male,Greater than 12 to less than 24 months,19
2010/2011,Newfoundland and Labrador,Male,24 months or more,0
2010/2011,Newfoundland and Labrador,Male,Unknown sentence length ordered,0
2010/2011,Newfoundland and Labrador,Female,"Total, sentence length ordered",102
2010/2011,Newfoundland and Labrador,Female,1 month or less,44
2010/2011,Newfoundland and Labrador,Female,Greater than 1 month to 3 months,34
2010/2011,Newfoundland and Labrador,Female,Greater than 3 months to 6 months,21
2010/2011,Newfoundland and Labrador,Female,Greater than 6 months to 12 months,3
2010/2011,Newfoundland and Labrador,Female,Greater than 12 to less than 24 months,0
2010/2011,Newfoundland and Labrador,Female,24 months or more,0
2010/2011,Newfoundland and Labrador,Female,Unknown sentence length ordered,0
2010/2011,Newfoundland and Labrador,Sex unknown,"Total, sentence length ordered",4
2010/2011,Newfoundland and Labrador,Sex unknown,1 month or less,2
2010/2011,Newfoundland and Labrador,Sex unknown,Greater than 1 month to 3 months,0
2010/2011,Newfoundland and Labrador,Sex unknown,Greater than 3 months to 6 months,0
2010/2011,Newfoundland and Labrador,Sex unknown,Greater than 6 months to 12 months,2
2010/2011,Newfoundland and Labrador,Sex unknown,Greater than 12 to less than 24 months,0
2010/2011,Newfoundland and Labrador,Sex unknown,24 months or more,0
2010/2011,Newfoundland and Labrador,Sex unknown,Unknown sentence length ordered,0
2010/2011,Prince Edward Island,"Total, custodial admission by sex","Total, sentence length ordered",713
2010/2011,Prince Edward Island,"Total, custodial admission by sex",1 month or less,512
2010/2011,Prince Edward Island,"Total, custodial admission by sex",Greater than 1 month to 3 months,129
2010/2011,Prince Edward Island,"Total, custodial admission by sex",Greater than 3 months to 6 months,43
2010/2011,Prince Edward Island,"Total, custodial admission by sex",Greater than 6 months to 12 months,19
2010/2011,Prince Edward Island,"Total, custodial admission by sex",Greater than 12 to less than 24 months,5
2010/2011,Prince Edward Island,"Total, custodial admission by sex",24 months or more,5
2010/2011,Prince Edward Island,"Total, custodial admission by sex",Unknown sentence length ordered,0
2010/2011,Prince Edward Island,Male,"Total, sentence length ordered",621
2010/2011,Prince Edward Island,Male,1 month or less,435
2010/2011,Prince Edward Island,Male,Greater than 1 month to 3 months,119
2010/2011,Prince Edward Island,Male,Greater than 3 months to 6 months,42
2010/2011,Prince Edward Island,Male,Greater than 6 months to 12 months,17
2010/2011,Prince Edward Island,Male,Greater than 12 to less than 24 months,4
2010/2011,Prince Edward Island,Male,24 months or more,4
2010/2011,Prince Edward Island,Male,Unknown sentence length ordered,0
2010/2011,Prince Edward Island,Female,"Total, sentence length ordered",92
2010/2011,Prince Edward Island,Female,1 month or less,77
2010/2011,Prince Edward Island,Female,Greater than 1 month to 3 months,10
2010/2011,Prince Edward Island,Female,Greater than 3 months to 6 months,1
2010/2011,Prince Edward Island,Female,Greater than 6 months to 12 months,2
2010/2011,Prince Edward Island,Female,Greater than 12 to less than 24 months,1
2010/2011,Prince Edward Island,Female,24 months or more,1
2010/2011,Prince Edward Island,Female,Unknown sentence length ordered,0
2010/2011,Prince Edward Island,Sex unknown,"Total, sentence length ordered",0
2010/2011,Prince Edward Island,Sex unknown,1 month or less,0
2010/2011,Prince Edward Island,Sex unknown,Greater than 1 month to 3 months,0
2010/2011,Prince Edward Island,Sex unknown,Greater than 3 months to 6 months,0
2010/2011,Prince Edward Island,Sex unknown,Greater than 6 months to 12 months,0
2010/2011,Prince Edward Island,Sex unknown,Greater than 12 to less than 24 months,0
2010/2011,Prince Edward Island,Sex unknown,24 months or more,0
2010/2011,Prince Edward Island,Sex unknown,Unknown sentence length ordered,0
2010/2011,Nova Scotia,"Total, custodial admission by sex","Total, sentence length ordered",2246
2010/2011,Nova Scotia,"Total, custodial admission by sex",1 month or less,788
2010/2011,Nova Scotia,"Total, custodial admission by sex",Greater than 1 month to 3 months,572
2010/2011,Nova Scotia,"Total, custodial admission by sex",Greater than 3 months to 6 months,330
2010/2011,Nova Scotia,"Total, custodial admission by sex",Greater than 6 months to 12 months,163
2010/2011,Nova Scotia,"Total, custodial admission by sex",Greater than 12 to less than 24 months,227
2010/2011,Nova Scotia,"Total, custodial admission by sex",24 months or more,40
2010/2011,Nova Scotia,"Total, custodial admission by sex",Unknown sentence length ordered,126
2010/2011,Nova Scotia,"Total, custodial admission by sex",Median sentence length ordered,47
2010/2011,Nova Scotia,Male,"Total, sentence length ordered",1999
2010/2011,Nova Scotia,Male,1 month or less,685
2010/2011,Nova Scotia,Male,Greater than 1 month to 3 months,506
2010/2011,Nova Scotia,Male,Greater than 3 months to 6 months,302
2010/2011,Nova Scotia,Male,Greater than 6 months to 12 months,152
2010/2011,Nova Scotia,Male,Greater than 12 to less than 24 months,199
2010/2011,Nova Scotia,Male,24 months or more,37
2010/2011,Nova Scotia,Male,Unknown sentence length ordered,118
2010/2011,Nova Scotia,Female,"Total, sentence length ordered",193
2010/2011,Nova Scotia,Female,1 month or less,85
2010/2011,Nova Scotia,Female,Greater than 1 month to 3 months,48
2010/2011,Nova Scotia,Female,Greater than 3 months to 6 months,22
2010/2011,Nova Scotia,Female,Greater than 6 months to 12 months,7
2010/2011,Nova Scotia,Female,Greater than 12 to less than 24 months,23
2010/2011,Nova Scotia,Female,24 months or more,3
2010/2011,Nova Scotia,Female,Unknown sentence length ordered,5
2010/2011,Nova Scotia,Sex unknown,"Total, sentence length ordered",54
2010/2011,Nova Scotia,Sex unknown,1 month or less,18
2010/2011,Nova Scotia,Sex unknown,Greater than 1 month to 3 months,18
2010/2011,Nova Scotia,Sex unknown,Greater than 3 months to 6 months,6
2010/2011,Nova Scotia,Sex unknown,Greater than 6 months to 12 months,4
2010/2011,Nova Scotia,Sex unknown,Greater than 12 to less than 24 months,5
2010/2011,Nova Scotia,Sex unknown,24 months or more,0
2010/2011,Nova Scotia,Sex unknown,Unknown sentence length ordered,3
2010/2011,New Brunswick,"Total, custodial admission by sex","Total, sentence length ordered",2527
2010/2011,New Brunswick,"Total, custodial admission by sex",1 month or less,1425
2010/2011,New Brunswick,"Total, custodial admission by sex",Greater than 1 month to 3 months,588
2010/2011,New Brunswick,"Total, custodial admission by sex",Greater than 3 months to 6 months,319
2010/2011,New Brunswick,"Total, custodial admission by sex",Greater than 6 months to 12 months,165
2010/2011,New Brunswick,"Total, custodial admission by sex",Greater than 12 to less than 24 months,29
2010/2011,New Brunswick,"Total, custodial admission by sex",24 months or more,1
2010/2011,New Brunswick,"Total, custodial admission by sex",Unknown sentence length ordered,0
2010/2011,New Brunswick,"Total, custodial admission by sex",Median sentence length ordered,23
2010/2011,New Brunswick,Male,"Total, sentence length ordered",2271
2010/2011,New Brunswick,Male,1 month or less,1275
