REF_DATE,GEO,Admissions and releases,Correctional services,VALUE
2005/2006,Prince Edward Island,Youth admissions,Deferred custody and supervision,
2005/2006,Prince Edward Island,Youth admissions,Supervised probation,
2005/2006,Prince Edward Island,Youth admissions,Other community sentences,
2005/2006,Prince Edward Island,Youth releases,Total correctional services,
2005/2006,Prince Edward Island,Youth releases,Pre-trial detention,
2005/2006,Prince Edward Island,Youth releases,Provincial director remand,
2005/2006,Prince Edward Island,Youth releases,Secure custody,
2005/2006,Prince Edward Island,Youth releases,Custody and supervision (secure),
2005/2006,Prince Edward Island,Youth releases,Young Offenders Act (YOA) (secure),
2005/2006,Prince Edward Island,Youth releases,Open custody,
2005/2006,Prince Edward Island,Youth releases,Custody and supervision (open),
2005/2006,Prince Edward Island,Youth releases,Young Offenders Act (YOA) (open),
2005/2006,Prince Edward Island,Youth releases,Total community sentences,
2005/2006,Prince Edward Island,Youth releases,Community Portion of Custody Supervision,
2005/2006,Prince Edward Island,Youth releases,Intensive support and supervision,
2005/2006,Prince Edward Island,Youth releases,Deferred custody and supervision,
2005/2006,Prince Edward Island,Youth releases,Supervised probation,
2005/2006,Prince Edward Island,Youth releases,Other community sentences,
2005/2006,Nova Scotia,Youth admissions,Total correctional services,612
2005/2006,Nova Scotia,Youth admissions,Pre-trial detention,227
2005/2006,Nova Scotia,Youth admissions,Provincial director remand,25
2005/2006,Nova Scotia,Youth admissions,Secure custody,5
2005/2006,Nova Scotia,Youth admissions,Custody and supervision (secure),5
2005/2006,Nova Scotia,Youth admissions,Young Offenders Act (YOA) (secure),
2005/2006,Nova Scotia,Youth admissions,Open custody,141
2005/2006,Nova Scotia,Youth admissions,Custody and supervision (open),141
2005/2006,Nova Scotia,Youth admissions,Young Offenders Act (YOA) (open),
2005/2006,Nova Scotia,Youth admissions,Total community sentences,214
2005/2006,Nova Scotia,Youth admissions,Community Portion of Custody Supervision,122
2005/2006,Nova Scotia,Youth admissions,Intensive support and supervision,
2005/2006,Nova Scotia,Youth admissions,Deferred custody and supervision,92
2005/2006,Nova Scotia,Youth admissions,Supervised probation,
2005/2006,Nova Scotia,Youth admissions,Other community sentences,
2005/2006,Nova Scotia,Youth releases,Total correctional services,371
2005/2006,Nova Scotia,Youth releases,Pre-trial detention,224
2005/2006,Nova Scotia,Youth releases,Provincial director remand,25
2005/2006,Nova Scotia,Youth releases,Secure custody,5
2005/2006,Nova Scotia,Youth releases,Custody and supervision (secure),5
2005/2006,Nova Scotia,Youth releases,Young Offenders Act (YOA) (secure),0
2005/2006,Nova Scotia,Youth releases,Open custody,117
2005/2006,Nova Scotia,Youth releases,Custody and supervision (open),117
2005/2006,Nova Scotia,Youth releases,Young Offenders Act (YOA) (open),0
2005/2006,Nova Scotia,Youth releases,Total community sentences,
2005/2006,Nova Scotia,Youth releases,Community Portion of Custody Supervision,
2005/2006,Nova Scotia,Youth releases,Intensive support and supervision,
2005/2006,Nova Scotia,Youth releases,Deferred custody and supervision,
2005/2006,Nova Scotia,Youth releases,Supervised probation,
2005/2006,Nova Scotia,Youth releases,Other community sentences,
2005/2006,New Brunswick,Youth admissions,Total correctional services,1944
2005/2006,New Brunswick,Youth admissions,Pre-trial detention,305
2005/2006,New Brunswick,Youth admissions,Provincial director remand,107
2005/2006,New Brunswick,Youth admissions,Secure custody,145
2005/2006,New Brunswick,Youth admissions,Custody and supervision (secure),145
2005/2006,New Brunswick,Youth admissions,Young Offenders Act (YOA) (secure),0
2005/2006,New Brunswick,Youth admissions,Open custody,96
2005/2006,New Brunswick,Youth admissions,Custody and supervision (open),96
2005/2006,New Brunswick,Youth admissions,Young Offenders Act (YOA) (open),0
2005/2006,New Brunswick,Youth admissions,Total community sentences,1291
2005/2006,New Brunswick,Youth admissions,Community Portion of Custody Supervision,207
2005/2006,New Brunswick,Youth admissions,Intensive support and supervision,
2005/2006,New Brunswick,Youth admissions,Deferred custody and supervision,145
2005/2006,New Brunswick,Youth admissions,Supervised probation,494
2005/2006,New Brunswick,Youth admissions,Other community sentences,445
2005/2006,New Brunswick,Youth releases,Total correctional services,2188
2005/2006,New Brunswick,Youth releases,Pre-trial detention,306
2005/2006,New Brunswick,Youth releases,Provincial director remand,107
2005/2006,New Brunswick,Youth releases,Secure custody,144
2005/2006,New Brunswick,Youth releases,Custody and supervision (secure),144
2005/2006,New Brunswick,Youth releases,Young Offenders Act (YOA) (secure),0
2005/2006,New Brunswick,Youth releases,Open custody,109
2005/2006,New Brunswick,Youth releases,Custody and supervision (open),109
2005/2006,New Brunswick,Youth releases,Young Offenders Act (YOA) (open),0
2005/2006,New Brunswick,Youth releases,Total community sentences,1522
2005/2006,New Brunswick,Youth releases,Community Portion of Custody Supervision,183
2005/2006,New Brunswick,Youth releases,Intensive support and supervision,
2005/2006,New Brunswick,Youth releases,Deferred custody and supervision,124
2005/2006,New Brunswick,Youth releases,Supervised probation,465
2005/2006,New Brunswick,Youth releases,Other community sentences,750
2005/2006,Quebec,Youth admissions,Total correctional services,12572
2005/2006,Quebec,Youth admissions,Pre-trial detention,1975
2005/2006,Quebec,Youth admissions,Provincial director remand,
2005/2006,Quebec,Youth admissions,Secure custody,723
2005/2006,Quebec,Youth admissions,Custody and supervision (secure),723
2005/2006,Quebec,Youth admissions,Young Offenders Act (YOA) (secure),
2005/2006,Quebec,Youth admissions,Open custody,584
2005/2006,Quebec,Youth admissions,Custody and supervision (open),584
2005/2006,Quebec,Youth admissions,Young Offenders Act (YOA) (open),
2005/2006,Quebec,Youth admissions,Total community sentences,9290
2005/2006,Quebec,Youth admissions,Community Portion of Custody Supervision,
2005/2006,Quebec,Youth admissions,Intensive support and supervision,59
2005/2006,Quebec,Youth admissions,Deferred custody and supervision,132
2005/2006,Quebec,Youth admissions,Supervised probation,3631
2005/2006,Quebec,Youth admissions,Other community sentences,5468
2005/2006,Quebec,Youth releases,Total correctional services,
2005/2006,Quebec,Youth releases,Pre-trial detention,
2005/2006,Quebec,Youth releases,Provincial director remand,
2005/2006,Quebec,Youth releases,Secure custody,
2005/2006,Quebec,Youth releases,Custody and supervision (secure),
2005/2006,Quebec,Youth releases,Young Offenders Act (YOA) (secure),
2005/2006,Quebec,Youth releases,Open custody,
2005/2006,Quebec,Youth releases,Custody and supervision (open),
2005/2006,Quebec,Youth releases,Young Offenders Act (YOA) (open),
2005/2006,Quebec,Youth releases,Total community sentences,
2005/2006,Quebec,Youth releases,Community Portion of Custody Supervision,
2005/2006,Quebec,Youth releases,Intensive support and supervision,
2005/2006,Quebec,Youth releases,Deferred custody and supervision,
2005/2006,Quebec,Youth releases,Supervised probation,
2005/2006,Quebec,Youth releases,Other community sentences,
2005/2006,Ontario,Youth admissions,Total correctional services,23051
2005/2006,Ontario,Youth admissions,Pre-trial detention,8664
2005/2006,Ontario,Youth admissions,Provincial director remand,
2005/2006,Ontario,Youth admissions,Secure custody,862
2005/2006,Ontario,Youth admissions,Custody and supervision (secure),857
2005/2006,Ontario,Youth admissions,Young Offenders Act (YOA) (secure),0
2005/2006,Ontario,Youth admissions,Open custody,961
2005/2006,Ontario,Youth admissions,Custody and supervision (open),960
2005/2006,Ontario,Youth admissions,Young Offenders Act (YOA) (open),0
2005/2006,Ontario,Youth admissions,Total community sentences,12564
2005/2006,Ontario,Youth admissions,Community Portion of Custody Supervision,1784
2005/2006,Ontario,Youth admissions,Intensive support and supervision,5
2005/2006,Ontario,Youth admissions,Deferred custody and supervision,554
2005/2006,Ontario,Youth admissions,Supervised probation,7599
2005/2006,Ontario,Youth admissions,Other community sentences,2622
2005/2006,Ontario,Youth releases,Total correctional services,23757
2005/2006,Ontario,Youth releases,Pre-trial detention,8683
2005/2006,Ontario,Youth releases,Provincial director remand,
2005/2006,Ontario,Youth releases,Secure custody,896
2005/2006,Ontario,Youth releases,Custody and supervision (secure),894
2005/2006,Ontario,Youth releases,Young Offenders Act (YOA) (secure),0
2005/2006,Ontario,Youth releases,Open custody,989
2005/2006,Ontario,Youth releases,Custody and supervision (open),989
2005/2006,Ontario,Youth releases,Young Offenders Act (YOA) (open),0
2005/2006,Ontario,Youth releases,Total community sentences,13189
2005/2006,Ontario,Youth releases,Community Portion of Custody Supervision,1801
2005/2006,Ontario,Youth releases,Intensive support and supervision,0
2005/2006,Ontario,Youth releases,Deferred custody and supervision,562
2005/2006,Ontario,Youth releases,Supervised probation,7953
2005/2006,Ontario,Youth releases,Other community sentences,2873
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Total correctional services,
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Pre-trial detention,
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Provincial director remand,
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Secure custody,
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Custody and supervision (secure),
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Young Offenders Act (YOA) (secure),
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Open custody,
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Custody and supervision (open),
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Young Offenders Act (YOA) (open),
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Total community sentences,
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Community Portion of Custody Supervision,
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Intensive support and supervision,
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Deferred custody and supervision,
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Supervised probation,
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Other community sentences,
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Total correctional services,
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Pre-trial detention,
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Provincial director remand,
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Secure custody,
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Custody and supervision (secure),
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Young Offenders Act (YOA) (secure),
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Open custody,
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Custody and supervision (open),
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Young Offenders Act (YOA) (open),
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Total community sentences,
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Community Portion of Custody Supervision,
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Intensive support and supervision,
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Deferred custody and supervision,
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Supervised probation,
2005/2006,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Other community sentences,
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Total correctional services,
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Pre-trial detention,
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Provincial director remand,
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Secure custody,
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Custody and supervision (secure),
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Young Offenders Act (YOA) (secure),
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Open custody,
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Custody and supervision (open),
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Young Offenders Act (YOA) (open),
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Total community sentences,
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Community Portion of Custody Supervision,
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Intensive support and supervision,
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Deferred custody and supervision,
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Supervised probation,
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Other community sentences,
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Total correctional services,
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Pre-trial detention,
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Provincial director remand,
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Secure custody,
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Custody and supervision (secure),
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Young Offenders Act (YOA) (secure),
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Open custody,
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Custody and supervision (open),
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Young Offenders Act (YOA) (open),
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Total community sentences,
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Community Portion of Custody Supervision,
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Intensive support and supervision,
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Deferred custody and supervision,
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Supervised probation,
2005/2006,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Other community sentences,
2005/2006,Manitoba,Youth admissions,Total correctional services,4449
2005/2006,Manitoba,Youth admissions,Pre-trial detention,1714
2005/2006,Manitoba,Youth admissions,Provincial director remand,228
2005/2006,Manitoba,Youth admissions,Secure custody,95
2005/2006,Manitoba,Youth admissions,Custody and supervision (secure),93
2005/2006,Manitoba,Youth admissions,Young Offenders Act (YOA) (secure),0
2005/2006,Manitoba,Youth admissions,Open custody,271
2005/2006,Manitoba,Youth admissions,Custody and supervision (open),270
2005/2006,Manitoba,Youth admissions,Young Offenders Act (YOA) (open),0
2005/2006,Manitoba,Youth admissions,Total community sentences,2141
2005/2006,Manitoba,Youth admissions,Community Portion of Custody Supervision,321
2005/2006,Manitoba,Youth admissions,Intensive support and supervision,
2005/2006,Manitoba,Youth admissions,Deferred custody and supervision,153
2005/2006,Manitoba,Youth admissions,Supervised probation,936
2005/2006,Manitoba,Youth admissions,Other community sentences,731
2005/2006,Manitoba,Youth releases,Total correctional services,4425
2005/2006,Manitoba,Youth releases,Pre-trial detention,1700
2005/2006,Manitoba,Youth releases,Provincial director remand,224
2005/2006,Manitoba,Youth releases,Secure custody,111
2005/2006,Manitoba,Youth releases,Custody and supervision (secure),109
2005/2006,Manitoba,Youth releases,Young Offenders Act (YOA) (secure),0
2005/2006,Manitoba,Youth releases,Open custody,272
2005/2006,Manitoba,Youth releases,Custody and supervision (open),272
2005/2006,Manitoba,Youth releases,Young Offenders Act (YOA) (open),0
2005/2006,Manitoba,Youth releases,Total community sentences,2118
2005/2006,Manitoba,Youth releases,Community Portion of Custody Supervision,341
2005/2006,Manitoba,Youth releases,Intensive support and supervision,
2005/2006,Manitoba,Youth releases,Deferred custody and supervision,153
2005/2006,Manitoba,Youth releases,Supervised probation,896
2005/2006,Manitoba,Youth releases,Other community sentences,728
2005/2006,Saskatchewan,Youth admissions,Total correctional services,1774
2005/2006,Saskatchewan,Youth admissions,Pre-trial detention,
2005/2006,Saskatchewan,Youth admissions,Provincial director remand,
2005/2006,Saskatchewan,Youth admissions,Secure custody,117
2005/2006,Saskatchewan,Youth admissions,Custody and supervision (secure),117
2005/2006,Saskatchewan,Youth admissions,Young Offenders Act (YOA) (secure),
2005/2006,Saskatchewan,Youth admissions,Open custody,159
2005/2006,Saskatchewan,Youth admissions,Custody and supervision (open),159
2005/2006,Saskatchewan,Youth admissions,Young Offenders Act (YOA) (open),
2005/2006,Saskatchewan,Youth admissions,Total community sentences,1498
2005/2006,Saskatchewan,Youth admissions,Community Portion of Custody Supervision,124
2005/2006,Saskatchewan,Youth admissions,Intensive support and supervision,
2005/2006,Saskatchewan,Youth admissions,Deferred custody and supervision,159
2005/2006,Saskatchewan,Youth admissions,Supervised probation,1215
2005/2006,Saskatchewan,Youth admissions,Other community sentences,
2005/2006,Saskatchewan,Youth releases,Total correctional services,174
2005/2006,Saskatchewan,Youth releases,Pre-trial detention,
2005/2006,Saskatchewan,Youth releases,Provincial director remand,
2005/2006,Saskatchewan,Youth releases,Secure custody,73
2005/2006,Saskatchewan,Youth releases,Custody and supervision (secure),73
2005/2006,Saskatchewan,Youth releases,Young Offenders Act (YOA) (secure),
2005/2006,Saskatchewan,Youth releases,Open custody,101
2005/2006,Saskatchewan,Youth releases,Custody and supervision (open),101
2005/2006,Saskatchewan,Youth releases,Young Offenders Act (YOA) (open),
2005/2006,Saskatchewan,Youth releases,Total community sentences,
2005/2006,Saskatchewan,Youth releases,Community Portion of Custody Supervision,
2005/2006,Saskatchewan,Youth releases,Intensive support and supervision,
2005/2006,Saskatchewan,Youth releases,Deferred custody and supervision,
2005/2006,Saskatchewan,Youth releases,Supervised probation,
2005/2006,Saskatchewan,Youth releases,Other community sentences,
2005/2006,Alberta,Youth admissions,Total correctional services,6002
2005/2006,Alberta,Youth admissions,Pre-trial detention,1797
2005/2006,Alberta,Youth admissions,Provincial director remand,
2005/2006,Alberta,Youth admissions,Secure custody,231
2005/2006,Alberta,Youth admissions,Custody and supervision (secure),231
2005/2006,Alberta,Youth admissions,Young Offenders Act (YOA) (secure),
2005/2006,Alberta,Youth admissions,Open custody,67
2005/2006,Alberta,Youth admissions,Custody and supervision (open),67
2005/2006,Alberta,Youth admissions,Young Offenders Act (YOA) (open),
2005/2006,Alberta,Youth admissions,Total community sentences,3907
2005/2006,Alberta,Youth admissions,Community Portion of Custody Supervision,505
2005/2006,Alberta,Youth admissions,Intensive support and supervision,13
2005/2006,Alberta,Youth admissions,Deferred custody and supervision,205
2005/2006,Alberta,Youth admissions,Supervised probation,1789
2005/2006,Alberta,Youth admissions,Other community sentences,1395
2005/2006,Alberta,Youth releases,Total correctional services,5717
2005/2006,Alberta,Youth releases,Pre-trial detention,1427
2005/2006,Alberta,Youth releases,Provincial director remand,
2005/2006,Alberta,Youth releases,Secure custody,368
2005/2006,Alberta,Youth releases,Custody and supervision (secure),368
2005/2006,Alberta,Youth releases,Young Offenders Act (YOA) (secure),
2005/2006,Alberta,Youth releases,Open custody,189
2005/2006,Alberta,Youth releases,Custody and supervision (open),189
2005/2006,Alberta,Youth releases,Young Offenders Act (YOA) (open),
2005/2006,Alberta,Youth releases,Total community sentences,3733
2005/2006,Alberta,Youth releases,Community Portion of Custody Supervision,490
2005/2006,Alberta,Youth releases,Intensive support and supervision,14
2005/2006,Alberta,Youth releases,Deferred custody and supervision,217
2005/2006,Alberta,Youth releases,Supervised probation,1768
2005/2006,Alberta,Youth releases,Other community sentences,1244
2005/2006,British Columbia,Youth admissions,Total correctional services,5575
2005/2006,British Columbia,Youth admissions,Pre-trial detention,1290
2005/2006,British Columbia,Youth admissions,Provincial director remand,
2005/2006,British Columbia,Youth admissions,Secure custody,285
2005/2006,British Columbia,Youth admissions,Custody and supervision (secure),285
2005/2006,British Columbia,Youth admissions,Young Offenders Act (YOA) (secure),0
2005/2006,British Columbia,Youth admissions,Open custody,217
2005/2006,British Columbia,Youth admissions,Custody and supervision (open),217
2005/2006,British Columbia,Youth admissions,Young Offenders Act (YOA) (open),
2005/2006,British Columbia,Youth admissions,Total community sentences,3783
2005/2006,British Columbia,Youth admissions,Community Portion of Custody Supervision,
2005/2006,British Columbia,Youth admissions,Intensive support and supervision,
2005/2006,British Columbia,Youth admissions,Deferred custody and supervision,
2005/2006,British Columbia,Youth admissions,Supervised probation,1520
2005/2006,British Columbia,Youth admissions,Other community sentences,2263
2005/2006,British Columbia,Youth releases,Total correctional services,5599
2005/2006,British Columbia,Youth releases,Pre-trial detention,1290
2005/2006,British Columbia,Youth releases,Provincial director remand,
2005/2006,British Columbia,Youth releases,Secure custody,162
2005/2006,British Columbia,Youth releases,Custody and supervision (secure),162
2005/2006,British Columbia,Youth releases,Young Offenders Act (YOA) (secure),0
2005/2006,British Columbia,Youth releases,Open custody,319
2005/2006,British Columbia,Youth releases,Custody and supervision (open),319
2005/2006,British Columbia,Youth releases,Young Offenders Act (YOA) (open),
2005/2006,British Columbia,Youth releases,Total community sentences,3828
2005/2006,British Columbia,Youth releases,Community Portion of Custody Supervision,
2005/2006,British Columbia,Youth releases,Intensive support and supervision,
2005/2006,British Columbia,Youth releases,Deferred custody and supervision,
2005/2006,British Columbia,Youth releases,Supervised probation,1804
2005/2006,British Columbia,Youth releases,Other community sentences,2024
2005/2006,Yukon,Youth admissions,Total correctional services,98
2005/2006,Yukon,Youth admissions,Pre-trial detention,33
2005/2006,Yukon,Youth admissions,Provincial director remand,10
2005/2006,Yukon,Youth admissions,Secure custody,1
2005/2006,Yukon,Youth admissions,Custody and supervision (secure),1
2005/2006,Yukon,Youth admissions,Young Offenders Act (YOA) (secure),0
2005/2006,Yukon,Youth admissions,Open custody,8
2005/2006,Yukon,Youth admissions,Custody and supervision (open),8
2005/2006,Yukon,Youth admissions,Young Offenders Act (YOA) (open),0
2005/2006,Yukon,Youth admissions,Total community sentences,46
2005/2006,Yukon,Youth admissions,Community Portion of Custody Supervision,15
2005/2006,Yukon,Youth admissions,Intensive support and supervision,1
2005/2006,Yukon,Youth admissions,Deferred custody and supervision,5
2005/2006,Yukon,Youth admissions,Supervised probation,16
2005/2006,Yukon,Youth admissions,Other community sentences,9
2005/2006,Yukon,Youth releases,Total correctional services,101
2005/2006,Yukon,Youth releases,Pre-trial detention,32
2005/2006,Yukon,Youth releases,Provincial director remand,11
2005/2006,Yukon,Youth releases,Secure custody,1
2005/2006,Yukon,Youth releases,Custody and supervision (secure),1
2005/2006,Yukon,Youth releases,Young Offenders Act (YOA) (secure),0
2005/2006,Yukon,Youth releases,Open custody,7
2005/2006,Yukon,Youth releases,Custody and supervision (open),7
2005/2006,Yukon,Youth releases,Young Offenders Act (YOA) (open),0
2005/2006,Yukon,Youth releases,Total community sentences,50
2005/2006,Yukon,Youth releases,Community Portion of Custody Supervision,12
2005/2006,Yukon,Youth releases,Intensive support and supervision,3
2005/2006,Yukon,Youth releases,Deferred custody and supervision,2
2005/2006,Yukon,Youth releases,Supervised probation,20
2005/2006,Yukon,Youth releases,Other community sentences,13
2005/2006,Northwest Territories including Nunavut,Youth admissions,Total correctional services,
2005/2006,Northwest Territories including Nunavut,Youth admissions,Pre-trial detention,
2005/2006,Northwest Territories including Nunavut,Youth admissions,Provincial director remand,
2005/2006,Northwest Territories including Nunavut,Youth admissions,Secure custody,
2005/2006,Northwest Territories including Nunavut,Youth admissions,Custody and supervision (secure),
2005/2006,Northwest Territories including Nunavut,Youth admissions,Young Offenders Act (YOA) (secure),
2005/2006,Northwest Territories including Nunavut,Youth admissions,Open custody,
2005/2006,Northwest Territories including Nunavut,Youth admissions,Custody and supervision (open),
2005/2006,Northwest Territories including Nunavut,Youth admissions,Young Offenders Act (YOA) (open),
2005/2006,Northwest Territories including Nunavut,Youth admissions,Total community sentences,
2005/2006,Northwest Territories including Nunavut,Youth admissions,Community Portion of Custody Supervision,
2005/2006,Northwest Territories including Nunavut,Youth admissions,Intensive support and supervision,
2005/2006,Northwest Territories including Nunavut,Youth admissions,Deferred custody and supervision,
2005/2006,Northwest Territories including Nunavut,Youth admissions,Supervised probation,
2005/2006,Northwest Territories including Nunavut,Youth admissions,Other community sentences,
2005/2006,Northwest Territories including Nunavut,Youth releases,Total correctional services,
2005/2006,Northwest Territories including Nunavut,Youth releases,Pre-trial detention,
2005/2006,Northwest Territories including Nunavut,Youth releases,Provincial director remand,
2005/2006,Northwest Territories including Nunavut,Youth releases,Secure custody,
2005/2006,Northwest Territories including Nunavut,Youth releases,Custody and supervision (secure),
2005/2006,Northwest Territories including Nunavut,Youth releases,Young Offenders Act (YOA) (secure),
2005/2006,Northwest Territories including Nunavut,Youth releases,Open custody,
2005/2006,Northwest Territories including Nunavut,Youth releases,Custody and supervision (open),
2005/2006,Northwest Territories including Nunavut,Youth releases,Young Offenders Act (YOA) (open),
2005/2006,Northwest Territories including Nunavut,Youth releases,Total community sentences,
2005/2006,Northwest Territories including Nunavut,Youth releases,Community Portion of Custody Supervision,
2005/2006,Northwest Territories including Nunavut,Youth releases,Intensive support and supervision,
2005/2006,Northwest Territories including Nunavut,Youth releases,Deferred custody and supervision,
2005/2006,Northwest Territories including Nunavut,Youth releases,Supervised probation,
2005/2006,Northwest Territories including Nunavut,Youth releases,Other community sentences,
2005/2006,Northwest Territories,Youth admissions,Total correctional services,266
2005/2006,Northwest Territories,Youth admissions,Pre-trial detention,41
2005/2006,Northwest Territories,Youth admissions,Provincial director remand,6
2005/2006,Northwest Territories,Youth admissions,Secure custody,28
2005/2006,Northwest Territories,Youth admissions,Custody and supervision (secure),28
2005/2006,Northwest Territories,Youth admissions,Young Offenders Act (YOA) (secure),0
2005/2006,Northwest Territories,Youth admissions,Open custody,29
2005/2006,Northwest Territories,Youth admissions,Custody and supervision (open),29
2005/2006,Northwest Territories,Youth admissions,Young Offenders Act (YOA) (open),0
2005/2006,Northwest Territories,Youth admissions,Total community sentences,162
2005/2006,Northwest Territories,Youth admissions,Community Portion of Custody Supervision,30
2005/2006,Northwest Territories,Youth admissions,Intensive support and supervision,1
2005/2006,Northwest Territories,Youth admissions,Deferred custody and supervision,5
2005/2006,Northwest Territories,Youth admissions,Supervised probation,126
2005/2006,Northwest Territories,Youth admissions,Other community sentences,0
2005/2006,Northwest Territories,Youth releases,Total correctional services,42
2005/2006,Northwest Territories,Youth releases,Pre-trial detention,42
2005/2006,Northwest Territories,Youth releases,Provincial director remand,
2005/2006,Northwest Territories,Youth releases,Secure custody,
2005/2006,Northwest Territories,Youth releases,Custody and supervision (secure),
2005/2006,Northwest Territories,Youth releases,Young Offenders Act (YOA) (secure),
2005/2006,Northwest Territories,Youth releases,Open custody,
2005/2006,Northwest Territories,Youth releases,Custody and supervision (open),
2005/2006,Northwest Territories,Youth releases,Young Offenders Act (YOA) (open),
2005/2006,Northwest Territories,Youth releases,Total community sentences,
2005/2006,Northwest Territories,Youth releases,Community Portion of Custody Supervision,
2005/2006,Northwest Territories,Youth releases,Intensive support and supervision,
2005/2006,Northwest Territories,Youth releases,Deferred custody and supervision,
2005/2006,Northwest Territories,Youth releases,Supervised probation,
2005/2006,Northwest Territories,Youth releases,Other community sentences,
2005/2006,Nunavut,Youth admissions,Total correctional services,114
2005/2006,Nunavut,Youth admissions,Pre-trial detention,24
